precio,titulo_anuncio,tipo_alojamineto,n_personas,n_dormitorios,n_camas,n_banos,valoracion,n_evaluaciones,comunidad,url
35.0,Romántico apartamento,piso,2.0,1.0,1.0,1.0,5.0,6.0,islas_canarias,https://www.airbnb.es/rooms/865606607781574248?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691172362_%2FD5YWg90QWOKvyl6&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
80.0,CASA EN RESERVA NATURAL,piso,5.0,1.0,1.0,1.0,4.87,217.0,islas_canarias,https://www.airbnb.es/rooms/701688?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691172394_HDuvA2ZbpWgoxmpf&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
28.0,Retiro para caminantes en Cruz De Tea.,piso,4.0,1.0,2.0,1.0,4.78,423.0,islas_canarias,https://www.airbnb.es/rooms/17527228?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691172355_NfrjJSKf6PQo%2FshO&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
38.0,Apartamento reformado en casa canaria.,piso,2.0,1.0,1.0,1.0,4.87,141.0,islas_canarias,https://www.airbnb.es/rooms/50113768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691172379_wqi%2BKKSJmcJ58QX3&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
48.0,Cómodo apartamento en La Playa-Apto Lola Nº103-Apartamentos Lola .,piso,2.0,1.0,2.0,1.0,4.54,78.0,islas_canarias,https://www.airbnb.es/rooms/45198442?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172402_1G%2B%2FCqXdtp4XwyA3&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
45.0,Vistas para el Relax,piso,2.0,1.0,1.0,1.0,4.94,81.0,islas_canarias,https://www.airbnb.es/rooms/11100199?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691172394_PjhUesE9C6Mbbx5D&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
28.0,Una cabaña ecológica en la isla de El Hierro.,casa,2.0,0.0,1.0,1.0,4.79,14.0,islas_canarias,https://www.airbnb.es/rooms/702912306739225888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691172382_AtgTELPQRFCSL6ok&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
49.0,Apartamento en La Garita,piso,5.0,2.0,3.0,1.0,4.26,62.0,islas_canarias,https://www.airbnb.es/rooms/29078768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691172390_UH3rRFeOVMDZv%2FQL&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
69.0,Casa Julio en Santa Lucía de Tirajana,casa,2.0,1.0,1.0,1.0,4.81,31.0,islas_canarias,https://www.airbnb.es/rooms/728972735504476448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172358_5uV4I%2FZCIhR%2FATnS&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
103.0,The Labyrinth®,piso,2.0,1.0,1.0,1.0,4.98,309.0,islas_canarias,https://www.airbnb.es/rooms/31185923?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-15&check_out=2024-02-20&source_impression_id=p3_1691172366_k%2BEdTMpEHKVc09Ui&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
48.0,Estudio cerca del mar,piso,2.0,1.0,1.0,1.0,4.81,535.0,islas_canarias,https://www.airbnb.es/rooms/21902139?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1691172375_rA17k2itRXihtsjX&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
50.0,Apartamento interior en la Playa de las Canteras,piso,2.0,1.0,1.0,1.0,4.62,81.0,islas_canarias,https://www.airbnb.es/rooms/39016452?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1691172374_LIqPB4N50fpqp9On&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
