Unnamed: 0,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
468.0,Apartamento con Encanto,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,82",405,,madrid,https://www.airbnb.es/rooms/567301424368343959?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086037_JHtMUgtdMUtC9bwl&previous_page_section_name=1000&federated_search_id=f280c5e3-f087-4215-b21f-4a719dcb395f
470.0,"Casa rural entre viñedos ""La Gatera""",suite con entrada independiente,4 viajeros,1 dormitorio,2 camas,1 baño,"4,90",79,,cataluña,https://www.airbnb.es/rooms/43513242?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1691085941_rssd3WNKwCv5E8Dx&previous_page_section_name=1000&federated_search_id=4c4ea3fe-de6e-4fb5-bbbf-abb37734e0ea
490.0,Apartamento en melilla en zona céntrica,piso,5 viajeros,3 dormitorios,5 camas,"1,5 baños","4,69",35,,melilla,https://www.airbnb.es/rooms/38097253?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1691086569_dSeRxAJHWaHvtt%2BX&previous_page_section_name=1000&federated_search_id=e77652f9-cf3d-48b8-be8c-28fb636e180c
518.0,El Balcón de Santillana,cabaña,6 viajeros,1 dormitorio,4 camas,1 baño,"4,92",237,,castilla_y_leon,https://www.airbnb.es/rooms/26485632?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691086005_hRZTgd96n4RKEB1a&previous_page_section_name=1000&federated_search_id=701ea364-b440-4ade-bce4-8abe8639d2cb
528.0,La casita del hórreo-Cangas de Onis,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"5,0",3,,castilla_y_leon,https://www.airbnb.es/rooms/929641407210770048?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086005_j%2BcmgMmVwjkwPNdI&previous_page_section_name=1000&federated_search_id=701ea364-b440-4ade-bce4-8abe8639d2cb
530.0,Precioso loft de 130 m2 en Quintanar,loft,6 viajeros,2 dormitorios,4 camas,1 baño,"4,67",9,,castilla_la_mancha,https://www.airbnb.es/rooms/828855122491625172?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086204_bE%2FtoMvPw9fywbRv&previous_page_section_name=1000&federated_search_id=52c46078-d656-4620-bd52-34359b851775
534.0,Hab. doble balcón o terraza Posada Spa San Marcos,Ruben,2 viajeros,1 dormitorio,2 camas,1 baño privado,"4,66",35,,cantabria,https://www.airbnb.es/rooms/51149748?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085549_W2H3eY5vQhUndovo&previous_page_section_name=1000&federated_search_id=6b3ce089-ee17-43bc-b1b0-13e06f17bd5f
543.0,Precioso estudio con baño FUERA (pared con pared),apto,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,46",24,,ceuta,https://www.airbnb.es/rooms/645345247696673323?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-06&source_impression_id=p3_1691086499_uDMEKid8HmHtMKwq&previous_page_section_name=1000&federated_search_id=3f4508eb-959a-4b83-8f53-6b894315fc56
567.0,Chalet individual con piscina en pleno Valle del Tiétar (Gredos),casa rural,4 viajeros,2 dormitorios,3 camas,2 baños,"5,0",14,,extremadura,https://www.airbnb.es/rooms/51102625?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-19&source_impression_id=p3_1691086384_1HeIes%2Fz4rpIL5DK&previous_page_section_name=1000&federated_search_id=6afdde1c-5012-464b-8a8b-088a19e697aa
574.0,APARTAMENTO EN TORRENT - EL VEDAT,loft,2 viajeros,1 dormitorio,1 cama,1 baño,"4,85",171,,comunidad_valenciana,https://www.airbnb.es/rooms/17281735?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1691086144_utu%2FJZEeormjfYXw&previous_page_section_name=1000&federated_search_id=55488ee9-1454-4543-999c-a1237a6e6007
586.0,Coquet pequeño estudio a 5 min de Martil Beach,piso,2 viajeros,Estudio,1 cama,1 baño,"4,39",18,,ceuta,https://www.airbnb.es/rooms/27046072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086551_4pTLbpLoDukqXQYh&previous_page_section_name=1000&federated_search_id=c7576a43-7143-4d5e-a392-ae1994af6f69
589.0,Acogedor apartamento con patio,vivienda,3 viajeros,1 dormitorio,1 cama,1 baño,"4,58",19,,madrid,https://www.airbnb.es/rooms/796477728193237052?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086086_oHS6s4A5cvS0o2EE&previous_page_section_name=1000&federated_search_id=a3c636cc-6311-40c1-a630-89e9316f65dc
592.0,La Casa,piso,5 viajeros,2 dormitorios,4 camas,1 baño,"5,0",12,,la_rioja,https://www.airbnb.es/rooms/806554426546067854?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-09&source_impression_id=p3_1691085787_Az2hIMW5qy%2Ffkhpw&previous_page_section_name=1000&federated_search_id=01f2f90f-8128-42ac-9f99-def30dbc19e3
594.0,Moderno apartamento en Tetuan!,piso,2 viajeros,Estudio,1 cama,1 baño,"4,17",6,,madrid,https://www.airbnb.es/rooms/796556269535520464?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086065_SbCIwdGtItqgVOtK&previous_page_section_name=1000&federated_search_id=b07146a4-1094-40b2-90f9-23ca39300c30
599.0,"Apartamento Atari, en el parque natural de Aralar.",piso,4 viajeros,1 dormitorio,3 camas,"1,5 baños","4,93",95,,navarra,https://www.airbnb.es/rooms/13806839?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691085735_hZ1UuVXGrzqnarL0&previous_page_section_name=1000&federated_search_id=4aa57621-a0f6-4e2a-a42d-7cb540e7e756
604.0,Apartamento medio Castillomar C,piso,4 viajeros,2 dormitorios,3 camas,1 baño,"4,45",11,,ceuta,https://www.airbnb.es/rooms/807758994352519215?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086504_xcgBxIapwBwHZ2yU&previous_page_section_name=1000&federated_search_id=20bd90e7-e728-4f8c-a774-f678372af118
607.0,Aeropuerto turismo,piso,3 viajeros,1 dormitorio,2 camas,"1,5 baños","4,64",11,,madrid,https://www.airbnb.es/rooms/776006859289639478?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086056_bml23EjElpm8VKu6&previous_page_section_name=1000&federated_search_id=7271927e-f2e8-462d-bf04-a7a8fb362da9
623.0,"Acogedora Casa, Bespén, Huesca",vivienda,7 viajeros,3 dormitorios,4 camas,1 baño,"4,93",15,,aragon,https://www.airbnb.es/rooms/649313334890915699?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085865_cf%2FzmBR5rAYGpNqG&previous_page_section_name=1000&federated_search_id=58c7cf4e-4087-4c1f-a350-353ce9ffb2fd
670.0,Casa Los Flamencos,vivienda,5 viajeros,3 dormitorios,4 camas,"2,5 baños",1,evaluación,,murcia,https://www.airbnb.es/rooms/937835703052085607?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-03&source_impression_id=p3_1691086327_jA2wm7l%2F9sK5M%2FpQ&previous_page_section_name=1000&federated_search_id=bdea0111-397a-49c2-b9cd-2aa51a1bbf54
673.0,El Petit Villars,chalet,2 viajeros,1 dormitorio,2 camas,"1,5 baños","4,96",24,,cataluña,https://www.airbnb.es/rooms/40527529?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-18&source_impression_id=p3_1691085920_unRM09wGGFgjDDI5&previous_page_section_name=1000&federated_search_id=e00e7f7d-9e26-460f-8f35-419ad1c98ee5
677.0,"La casa de invitados, container home",casa de invitados,2 viajeros,Estudio,1 cama,1 baño,"4,63",111,,aragon,https://www.airbnb.es/rooms/42637143?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085845_sl%2Fm4yRGD7H6a2v3&previous_page_section_name=1000&federated_search_id=a2ff12aa-4480-4548-b869-965d44e44439
681.0,"Apartamento con encanto, amplio y bien situado en Fnideq",piso,7 viajeros,2 dormitorios,3 camas,1 baño,"4,46",52,,ceuta,https://www.airbnb.es/rooms/37036491?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691086513_IOAddyCCKR3cnsyB&previous_page_section_name=1000&federated_search_id=9b824765-0581-4726-9ab7-b8e0de7e3d03
699.0,Casa Mariví,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,72",114,,pais_vasco,https://www.airbnb.es/rooms/50155606?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085623_wSoFk6Xxt%2BD2n8yf&previous_page_section_name=1000&federated_search_id=f145e382-508d-4b80-8445-d3e62666a539
705.0,Chamartín Plaza Castilla 4,piso,3 viajeros,1 dormitorio,3 camas,1 baño,"4,90",193,,madrid,https://www.airbnb.es/rooms/8147896?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-21&source_impression_id=p3_1691086090_%2BzHWeAQLP%2B2Mw%2FYa&previous_page_section_name=1000&federated_search_id=6b4b3f9c-2140-42ff-b81f-afe18f16e705
714.0,Naturaleza en estado puro,piso,4 viajeros,2 dormitorios,3 camas,2 baños,"4,91",279,,pais_vasco,https://www.airbnb.es/rooms/20736604?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-15&check_out=2023-09-22&source_impression_id=p3_1691085609_GqZZl47EmvNxAqIe&previous_page_section_name=1000&federated_search_id=7a7a2c66-c278-4113-8cf2-ec5e834e86a4
717.0,Acogedor y luminoso apartamento cerca del centro,piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,80",40,,madrid,https://www.airbnb.es/rooms/735898847915406794?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1691086107_Ph%2B5rdlFHlXVmHvR&previous_page_section_name=1000&federated_search_id=493f7c51-32e1-4dc5-aecc-2cb8458a0b47
735.0,Apartamento en el centro de la ciudad 75 metros,apto,4 viajeros,2 dormitorios,4 camas,1 baño,"4,86",71,,extremadura,https://www.airbnb.es/rooms/23874519?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691086394_8bhXdERz3hYuca%2B1&previous_page_section_name=1000&federated_search_id=3b698b64-ef89-4948-a5e9-328b47769f00
753.0,Habitación privada en Portazgo,Claudia,2 viajeros,1 dormitorio,1 cama,1 baño compartido,"4,71",14,,madrid,https://www.airbnb.es/rooms/879762875805513633?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086081_vfgGsu4OZ2iPsD91&previous_page_section_name=1000&federated_search_id=ec5b9ece-73fd-4a93-80ca-a9066ce2ebdb
779.0,MADRID NORTE ARTAMENTO ALEGRE Y FUNCIONAL,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,70",10,,madrid,https://www.airbnb.es/rooms/53876705?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086102_4VUXQuM%2BSYbXWAIj&previous_page_section_name=1000&federated_search_id=bc7f9b21-13bf-489c-85b4-148ad3231254
804.0,Alojamiento residencial entero. Vistas al lago,piso,3 viajeros,1 dormitorio,2 camas,1 baño,"4,68",37,,castilla_y_leon,https://www.airbnb.es/rooms/766738701869963501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-25&source_impression_id=p3_1691086017_IaJB3nmGpkGXCTzk&previous_page_section_name=1000&federated_search_id=8a45eb79-1601-4fac-b762-d4a4b5548806
807.0,Apartamentos El Llanin()Nieda,piso,2 viajeros,1 dormitorio,2 camas,1 baño,"4,80",214,,asturias,https://www.airbnb.es/rooms/21222444?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691085502_Dzhl6GEoOTAzx2iC&previous_page_section_name=1000&federated_search_id=8cef3447-d6bb-482e-9cfa-cc193ebb9912
808.0,Tienda Bell,Kampaoh,2 viajeros,1 dormitorio,1 cama,1 baño compartido,"4,73",11,,aragon,https://www.airbnb.es/rooms/852667794040539420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085865_fVISOzNKSoUyluSP&previous_page_section_name=1000&federated_search_id=58c7cf4e-4087-4c1f-a350-353ce9ffb2fd
828.0,Casita Abanilla,casa de invitados,2 viajeros,1 dormitorio,1 cama,"1,5 baños",1,evaluación,,castilla_la_mancha,https://www.airbnb.es/rooms/928889191896529126?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-26&source_impression_id=p3_1691086208_v%2B2wWLrt8fF2mV49&previous_page_section_name=1000&federated_search_id=f359ae9c-bc30-4004-a527-1e94972f228c
831.0,Acogedor apartamento entre montañas,piso,5 viajeros,2 dormitorios,4 camas,1 baño,"4,94",17,,cataluña,https://www.airbnb.es/rooms/854274177074771994?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1691085893_EJw8Tb7NyDhMKvnT&previous_page_section_name=1000&federated_search_id=5ac28c9a-32b9-4268-82aa-363072527ba9
843.0,Precioso apartamento centro Santander,piso,3 viajeros,1 dormitorio,1 cama,1 baño,"4,38",126,,cantabria,https://www.airbnb.es/rooms/50898724?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691085601_VRo1I5PxEj%2BqWYUn&previous_page_section_name=1000&federated_search_id=910a17d7-acf3-4c82-a75d-d145a4cbce5a
844.0,Apartamentos con vistas al mar y desayuno,piso,4 viajeros,1 dormitorio,3 camas,1 baño,"4,28",272,,baleares,https://www.airbnb.es/rooms/43539236?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-03&source_impression_id=p3_1691086665_ozQo9kfsKfl5T%2B9t&previous_page_section_name=1000&federated_search_id=46231895-ddc5-409d-ac67-51cc9d473d85
857.0,BONITO ATICO EN EL CENTRO DE MAHORA!!,vivienda,6 viajeros,3 dormitorios,4 camas,2 baños,"4,89",116,,castilla_la_mancha,https://www.airbnb.es/rooms/34884532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086232_yzrRBgL4IfVdNdsQ&previous_page_section_name=1000&federated_search_id=7fa2e520-da38-4611-ac23-a14ddf2a38b4
860.0,Pequeña suite con entrada independiente en Daimus,suite con entrada independiente,2 viajeros,Estudio,1 cama,1 baño,"5,0",12,,comunidad_valenciana,https://www.airbnb.es/rooms/50674699?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-09-02&source_impression_id=p3_1691086173_cjmviabBZIFNYJZC&previous_page_section_name=1000&federated_search_id=ae0a102e-1015-41c0-9776-8a1a955aa239
864.0,Bajo/loft pequeñito y acogedor,suite con entrada independiente,2 viajeros,1 dormitorio,1 cama,1 baño,"4,78",9,,comunidad_valenciana,https://www.airbnb.es/rooms/871826209863623952?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086126_ywf8pWrxzerK6HDP&previous_page_section_name=1000&federated_search_id=025e1cd6-c69d-4ac8-a6cc-892b43929da1
870.0,Preciosa Casa de Invitados con piscina y barbacoa,casa de invitados,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,70",10,,castilla_y_leon,https://www.airbnb.es/rooms/704388483346563350?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691086025_uyWsi4JFPGENzplg&previous_page_section_name=1000&federated_search_id=020f3247-d7ea-4824-8c76-26dc7189de1e
875.0,Casa/Estudio Rural (T) en plena naturaleza,casa rural,4 viajeros,1 dormitorio,3 camas,1 baño,"5,0",44,,comunidad_valenciana,https://www.airbnb.es/rooms/611380973792624424?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-15&source_impression_id=p3_1691086177_7%2BjGzlObKWO0weJ3&previous_page_section_name=1000&federated_search_id=ea84f72c-2f2d-4c13-8604-d8d1dad0bb25
878.0,Apartamento junto a Juan Carlos I,piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,70",161,,murcia,https://www.airbnb.es/rooms/24599033?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086271_vcOpZLvDupxKMPyc&previous_page_section_name=1000&federated_search_id=8d9c264c-0aac-4cda-ad53-aa525c20ba2b
882.0,Hotel Villanueva - Doble economica - Tarifa estandar,Ana Maria,2 viajeros,1 dormitorio,1 cama,1 baño privado,2,evaluaciones,,asturias,https://www.airbnb.es/rooms/43905223?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085526_2f1DTaMsaGHnKevy&previous_page_section_name=1000&federated_search_id=42da71f5-7cc1-4953-a8c5-75750a1adb46
883.0,Oasis en la ciudad,suite con entrada independiente,2 viajeros,Estudio,1 cama,1 baño,"4,93",169,,murcia,https://www.airbnb.es/rooms/24049224?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086257_Vis%2FxbG%2BVPWQ7IuW&previous_page_section_name=1000&federated_search_id=7a961ff4-aa72-4033-b352-08eddcb03fa9
893.0,Elegante loft moderno,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,57",37,,madrid,https://www.airbnb.es/rooms/715760872364448470?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691086081_uKYCT3fdDI5koyNE&previous_page_section_name=1000&federated_search_id=ec5b9ece-73fd-4a93-80ca-a9066ce2ebdb
914.0,Zona residencial cerca de la Universidad,apto,2 viajeros,2 dormitorios,3 camas,1 baño,"4,48",31,,extremadura,https://www.airbnb.es/rooms/13837760?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086379_KIzWElyVUUg5T1xo&previous_page_section_name=1000&federated_search_id=c9fc2cb8-224d-48f5-9004-825a0d457bbb
931.0,Moon loft,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,56",9,,extremadura,https://www.airbnb.es/rooms/907246577608886783?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086350_CVgUUU7uRwBpl22D&previous_page_section_name=1000&federated_search_id=758af101-3208-40d9-914c-7d850718288d
940.0,"Apartamento ideal parejas, centro pueblo",piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,41",93,,andalucia,https://www.airbnb.es/rooms/23797766?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691086444_gAZ0Mou486DfBKbm&previous_page_section_name=1000&federated_search_id=9d065b67-da3f-403f-a4b7-9a498a2c96b0
957.0,Minicasa con jardín en Ordesa-Pirineo,casa de invitados,2 viajeros,Estudio,1 cama,1 baño,"4,76",91,,aragon,https://www.airbnb.es/rooms/30335018?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-29&check_out=2023-09-03&source_impression_id=p3_1691085880_fCb3xCCMyYG4CH9F&previous_page_section_name=1000&federated_search_id=6b5b0ba2-3956-4ead-b3ac-bb3d20f2dc73
1005.0,Perfecto para una escapada,piso,2 viajeros,1 dormitorio,1 cama,1 baño,2,evaluaciones,,extremadura,https://www.airbnb.es/rooms/871676311910654029?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086398_GG4DN3Y3QvsJXYM0&previous_page_section_name=1000&federated_search_id=f2cb83dc-d7c3-4b43-bb23-2c37d1a339df
1007.0,CASA RURAL CALABON,casa rural,3 viajeros,2 dormitorios,2 camas,2 baños,"4,72",18,,extremadura,https://www.airbnb.es/rooms/50589855?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-14&source_impression_id=p3_1691086404_L%2Fy%2F6SRFXtZW6d2%2F&previous_page_section_name=1000&federated_search_id=602a9d1a-6239-48ab-848c-f2dd2ff5c2c2
1037.0,Céntrico y cuidado piso. Pet friendly,piso,3 viajeros,2 dormitorios,2 camas,1 baño,"4,66",44,,andalucia,https://www.airbnb.es/rooms/53085729?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-10&source_impression_id=p3_1691086465_lnPF4uWhwaIlglqN&previous_page_section_name=1000&federated_search_id=169d9bbd-c634-402b-b9a1-333da7c9ec2d
1040.0,Soleado apartamento con balcón cerca de la playa.,piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,69",199,,baleares,https://www.airbnb.es/rooms/49086170?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-30&source_impression_id=p3_1691086657_hwaOZq%2F1vjCHz1wA&previous_page_section_name=1000&federated_search_id=362d8107-5669-4b3c-8eef-2b895679266d
1053.0,Apartamento en la avenida mediterránea,piso,6 viajeros,2 dormitorios,4 camas,1 baño,"4,67",9,,melilla,https://www.airbnb.es/rooms/42286226?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691086578_WPS9E8M4j6rtYv%2BP&previous_page_section_name=1000&federated_search_id=1b80f752-7b37-41c7-bb92-f77123ee1753
1060.0,Glamping en la naturaleza - A Salvaxe,Arturo,2 viajeros,1 dormitorio,1 cama,1 baño,"4,95",19,,galicia,https://www.airbnb.es/rooms/51669280?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-12&source_impression_id=p3_1691085392_rTrh3v1lBnkStE9u&previous_page_section_name=1000&federated_search_id=0ea46c0c-4d83-4f93-9eb9-2e7c2710f8db
1078.0,Impresionante piso | Centro histórico | Plaza Mercado,piso,5 viajeros,2 dormitorios,3 camas,1 baño,"5,0",3,,la_rioja,https://www.airbnb.es/rooms/918939544260044582?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085818_3nuvVDAdF34duNLC&previous_page_section_name=1000&federated_search_id=922e5e28-4e5e-4666-9196-22f229771e43
1090.0,"Valencia-Centro historico ""la casita"" VT43566V",piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,07",14,,valencia,https://www.airbnb.es/rooms/832351408584621487?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085345_VhwBitsPQzsJFD6u&previous_page_section_name=1000&federated_search_id=4978ccc7-89ce-4d2a-ac7a-29ac90e91dbc
1093.0,Lo Alto,piso,6 viajeros,3 dormitorios,5 camas,1 baño,"4,96",112,,asturias,https://www.airbnb.es/rooms/19690007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-03&check_out=2023-10-10&source_impression_id=p3_1691085530_17DHpSYL%2BbGQr8sJ&previous_page_section_name=1000&federated_search_id=003b642d-51e4-464f-9ceb-a3093b2f1401
1096.0,Casa Rural Refugio los Perdigones,casa rural,8 viajeros,4 dormitorios,6 camas,2 baños,"4,97",125,,extremadura,https://www.airbnb.es/rooms/23684270?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086375_4AkanPW%2B%2B68OLVxg&previous_page_section_name=1000&federated_search_id=b75cf506-cd7c-451a-875e-aa9b2560bab4
1101.0,"Turismo rural, Donosti/playa. ESS02796",piso,5 viajeros,2 dormitorios,8 camas,2 baños,"4,94",53,,pais_vasco,https://www.airbnb.es/rooms/47964715?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-03&source_impression_id=p3_1691085648_v7OhYU5rYK4PfjL6&previous_page_section_name=1000&federated_search_id=46d55eef-d725-44e5-8aaf-90aabf328381
1108.0,Alquiler vacacional,vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,2,evaluaciones,,castilla_y_leon,https://www.airbnb.es/rooms/909529824296041157?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1691086005_7ihMPgJ5SpNoeR1Z&previous_page_section_name=1000&federated_search_id=701ea364-b440-4ade-bce4-8abe8639d2cb
1114.0,Habitación de Luz,Silvia,2 viajeros,Estudio,1 cama,0 baños compartidos,"4,67",4,,castilla_y_leon,https://www.airbnb.es/rooms/17393994?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086025_oqz%2F0hcIJpOtMdgz&previous_page_section_name=1000&federated_search_id=020f3247-d7ea-4824-8c76-26dc7189de1e
1118.0,"Glicinia, Xanelas do Monte",Xanelas,2 viajeros,1 dormitorio,1 cama,1 baño privado,"4,67",24,,galicia,https://www.airbnb.es/rooms/598198213382859622?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691085407_to8Iv2v90VWciBi3&previous_page_section_name=1000&federated_search_id=358e4285-0810-480c-90e8-64e20f336a3c
1122.0,"Estudio céntrico, en la Plaza Yamaguchi - Líbere",apartamento con servicios,2 viajeros,Estudio,1 cama,1 baño,"4,49",39,,navarra,https://www.airbnb.es/rooms/696962155306993651?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085715_14s9cstidMpGvGcE&previous_page_section_name=1000&federated_search_id=56966045-f5af-4a4f-8d06-633587c2fd56
