comunidad,url
la_rioja,https://www.airbnb.es/rooms/27701871?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085766_GN2uliGbYDV57hPG&previous_page_section_name=1000&federated_search_id=24d89555-bc4f-4054-a78b-936ec0fbb1de
baleares,https://www.airbnb.es/rooms/50971311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691086682_XYbfF6ruFQDCHzUH&previous_page_section_name=1000&federated_search_id=684ff2f9-4d23-4dd1-b22b-4cce5cd9b2a7
pais_vasco,https://www.airbnb.es/rooms/925442325024401725?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085648_XEhHM3fDlmWYVMyU&previous_page_section_name=1000&federated_search_id=46d55eef-d725-44e5-8aaf-90aabf328381
ceuta,https://www.airbnb.es/rooms/929182075182938238?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-25&source_impression_id=p3_1691086499_zWAdLR85Ao7msht8&previous_page_section_name=1000&federated_search_id=3f4508eb-959a-4b83-8f53-6b894315fc56
castilla_la_mancha,https://www.airbnb.es/rooms/874904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086252_Rf%2F2mKV9D43jcjWP&previous_page_section_name=1000&federated_search_id=10b3325f-93e8-4cac-a023-c47a93311067
comunidad_valenciana,https://www.airbnb.es/rooms/31008096?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-27&source_impression_id=p3_1691086148_IDkGnBQ0dJ9dUoW9&previous_page_section_name=1000&federated_search_id=4c0865b2-4c53-4972-855b-c03ebb5e23fd
galicia,https://www.airbnb.es/rooms/20130034?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085431_hNlugBORHEwdqXCb&previous_page_section_name=1000&federated_search_id=e9600b70-d00b-4c0a-be3e-31f2ccd10f32
comunidad_valenciana,https://www.airbnb.es/rooms/630134107938928153?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-19&source_impression_id=p3_1691086161_p%2FWBjzLQfry4hQ6O&previous_page_section_name=1000&federated_search_id=394e1388-1978-460e-be66-1d6935e2084a
extremadura,https://www.airbnb.es/rooms/873204854796236124?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691086384_llMSix7X5QAd3NSw&previous_page_section_name=1000&federated_search_id=6afdde1c-5012-464b-8a8b-088a19e697aa
comunidad_valenciana,https://www.airbnb.es/rooms/809427573208259296?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086173_zQjaGEHhOOUo0hqR&previous_page_section_name=1000&federated_search_id=ae0a102e-1015-41c0-9776-8a1a955aa239
castilla_la_mancha,https://www.airbnb.es/rooms/913643765762248048?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086244_tHm430N2xx1Cm32m&previous_page_section_name=1000&federated_search_id=39cbfae6-f721-4263-a31e-4869c5a4f1f2
baleares,https://www.airbnb.es/rooms/2411327?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-03&check_out=2023-10-08&source_impression_id=p3_1691086649_V7MeHLZrJxub9c5J&previous_page_section_name=1000&federated_search_id=b1308137-9ad7-46c4-affa-cddb405cec45
navarra,https://www.airbnb.es/rooms/52818911?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085711_%2By7M34GOvgAZZs9f&previous_page_section_name=1000&federated_search_id=61caa4df-ea64-4b99-98f1-7952281d9540
extremadura,https://www.airbnb.es/rooms/42323199?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691086394_l4mwA99cOQJM05dC&previous_page_section_name=1000&federated_search_id=3b698b64-ef89-4948-a5e9-328b47769f00
murcia,https://www.airbnb.es/rooms/852598889761122037?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086303_gleLcr%2Fe583JYn1F&previous_page_section_name=1000&federated_search_id=5fa4b39f-2c59-4f96-bb64-6da22f242341
valencia,https://www.airbnb.es/rooms/27499723?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-14&source_impression_id=p3_1691085345_iKBSopPRZAsj789Y&previous_page_section_name=1000&federated_search_id=4978ccc7-89ce-4d2a-ac7a-29ac90e91dbc
pais_vasco,https://www.airbnb.es/rooms/676118228698995411?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691085628_00knOMW%2FO5Jce40y&previous_page_section_name=1000&federated_search_id=a351f612-6da7-49ad-a724-ca1169f0384e
andalucia,https://www.airbnb.es/rooms/33215951?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086465_72JV0Iq%2BiPsjFP1I&previous_page_section_name=1000&federated_search_id=169d9bbd-c634-402b-b9a1-333da7c9ec2d
andalucia,https://www.airbnb.es/rooms/731720572716016346?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-27&check_out=2023-11-01&source_impression_id=p3_1691086440_u4HRoU8SNLMLR0yR&previous_page_section_name=1000&federated_search_id=d09aabae-4ea1-48c2-b74a-6e1cfaeece39
comunidad_valenciana,https://www.airbnb.es/rooms/944155887663651913?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086130_qmGrOKqs5DfgF6Iq&previous_page_section_name=1000&federated_search_id=3d93f66a-5e74-4fef-af14-e061d1048c2f
extremadura,https://www.airbnb.es/rooms/45013297?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086354_e6spJy4Dp9dLGLu6&previous_page_section_name=1000&federated_search_id=a01b7ab3-870d-4240-8747-a3a769a87ff8
ceuta,https://www.airbnb.es/rooms/801278117770118900?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086516_%2FUqWgMEVHbobv1ow&previous_page_section_name=1000&federated_search_id=0a1cc9de-7115-40ba-b24c-e3a72d7676cc
ceuta,https://www.airbnb.es/rooms/945658375049969968?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691086540_TYMfCn3NOM2snr%2BF&previous_page_section_name=1000&federated_search_id=79699730-c4b1-4d59-9cc2-f168f85d579e
extremadura,https://www.airbnb.es/rooms/926738708750373954?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086398_Pq1kmxyJGqupZatc&previous_page_section_name=1000&federated_search_id=f2cb83dc-d7c3-4b43-bb23-2c37d1a339df
comunidad_valenciana,https://www.airbnb.es/rooms/39327716?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-05&source_impression_id=p3_1691086140_YVFuKiMg3upuYw22&previous_page_section_name=1000&federated_search_id=62f88a3c-3e45-4ef1-a781-d297556d3c5d
castilla_y_leon,https://www.airbnb.es/rooms/50686417?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-09&source_impression_id=p3_1691085985_olSeghWoZn1RaTUp&previous_page_section_name=1000&federated_search_id=b50051a8-7f1a-4116-b1ff-f525b30baff0
castilla_la_mancha,https://www.airbnb.es/rooms/829516?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086252_La4onzO%2BNXXhiLj2&previous_page_section_name=1000&federated_search_id=10b3325f-93e8-4cac-a023-c47a93311067
melilla,https://www.airbnb.es/rooms/41903941?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-07&source_impression_id=p3_1691086602_CPhqzbWDayQ0ysGW&previous_page_section_name=1000&federated_search_id=22c2eb27-1058-46cd-bf08-ad381b8afbe6
ceuta,https://www.airbnb.es/rooms/947587721416899779?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691086499_OjtT1R1yRdYvDSby&previous_page_section_name=1000&federated_search_id=3f4508eb-959a-4b83-8f53-6b894315fc56
aragon,https://www.airbnb.es/rooms/45264560?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691085873_NfTJMPTQIOCb%2FO3P&previous_page_section_name=1000&federated_search_id=a37df857-e886-40ea-af94-2a6b7a0ca5ad
murcia,https://www.airbnb.es/rooms/556580843638156422?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-01&check_out=2024-06-06&source_impression_id=p3_1691086327_%2BxnqdjeTvJX9fgy9&previous_page_section_name=1000&federated_search_id=bdea0111-397a-49c2-b9cd-2aa51a1bbf54
madrid,https://www.airbnb.es/rooms/807805273077727762?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691086064_xfDfZMC5SRCntidb&previous_page_section_name=1000&federated_search_id=b07146a4-1094-40b2-90f9-23ca39300c30
castilla_y_leon,https://www.airbnb.es/rooms/31398410?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-10&source_impression_id=p3_1691085985_VpJDgcxDxB2BvXMd&previous_page_section_name=1000&federated_search_id=b50051a8-7f1a-4116-b1ff-f525b30baff0
andalucia,https://www.airbnb.es/rooms/934850334598474227?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1691086452_1%2FtXROqM05gVos3W&previous_page_section_name=1000&federated_search_id=eaa6ebec-6e46-48f9-a710-64cfd7c0edd0
murcia,https://www.airbnb.es/rooms/940633150540685491?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086281_hnEGKNcmNaB40C2W&previous_page_section_name=1000&federated_search_id=27ce2f2e-a752-417a-88df-5688f680d26a
galicia,https://www.airbnb.es/rooms/946399905157303835?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691085447_GdI7WfiF8fRbUunT&previous_page_section_name=1000&federated_search_id=02d85ad4-0dae-4e2b-9ba5-969df70670ac
ceuta,https://www.airbnb.es/rooms/920331388899558204?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086536_q0T6t%2BMjvtrdsWm3&previous_page_section_name=1000&federated_search_id=6c70dd28-a836-42c9-b0d4-58f6aeedb44d
