Unnamed: 0,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
62.0,Ático mágico entre el Montseny y la Costa Brava,,,,,,,,,cataluña,https://www.airbnb.es/rooms/34198714?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691085924_XiXu9INXjJzdEmgP&previous_page_section_name=1000&federated_search_id=c03c9b9c-a2ce-4fb0-9e27-34ce978f22e4
73.0,habitación privada en Albacete,,,,,,,,,castilla_la_mancha,https://www.airbnb.es/rooms/18920723?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691086240_g5RjBDbOML8%2FsZ3u&previous_page_section_name=1000&federated_search_id=965f6993-bec5-49a6-a3af-420b949734a7
77.0,Habitación / Bedroom - 1,,,,,,,,,navarra,https://www.airbnb.es/rooms/19547612?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-13&source_impression_id=p3_1691085707_6RsbkfnkK6Cde8sJ&previous_page_section_name=1000&federated_search_id=135e53ea-3e99-47ea-87c0-062c82121ded
78.0,Habitación privada con wifi,,,,,,,,,extremadura,https://www.airbnb.es/rooms/802546962340172068?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086389_jcPbWG5BBfZ05YKM&previous_page_section_name=1000&federated_search_id=8c358d0e-bf63-476c-89f6-d9f65150da01
81.0,Habitación privada Valencia,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/819039969348702184?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-06&source_impression_id=p3_1691086148_UX7UpiJwYwfWQ5KM&previous_page_section_name=1000&federated_search_id=4c0865b2-4c53-4972-855b-c03ebb5e23fd
87.0,cañas habitación privada en el Palmar con aire,,,,,,,,,valencia,https://www.airbnb.es/rooms/720146541829459242?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691085380_XmJwPG%2FtcIsFj%2BiU&previous_page_section_name=1000&federated_search_id=1cc1cee3-ff85-4e09-8252-c22197462286
91.0,Alojamiento céntrico y acogedor,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/875811523987426188?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691086126_uHLM61gJ39ixUHGs&previous_page_section_name=1000&federated_search_id=025e1cd6-c69d-4ac8-a6cc-892b43929da1
95.0,Acogedora habitación en barrio de moda,,,,,,,,,navarra,https://www.airbnb.es/rooms/27652757?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691085731_ZhLm%2F1XRWr7dVVER&previous_page_section_name=1000&federated_search_id=db3936bb-34ca-4be5-bbf1-72b0102a1134
97.0,Can Macia,,,,,,,,,cataluña,https://www.airbnb.es/rooms/923219464430512146?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691085911_Ql3E3FKlVbz2R6jX&previous_page_section_name=1000&federated_search_id=6c94fe2a-1102-4e23-9f19-928613d0b067
99.0,Habitación amplia y cómoda,,,,,,,,,murcia,https://www.airbnb.es/rooms/917815098876526856?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086286_NPEMWE3zgLdbxPgy&previous_page_section_name=1000&federated_search_id=356d1efd-13b9-489c-96a9-033d9af97124
110.0,Habitacion Individual Valencia Centro,,,,,,,,,valencia,https://www.airbnb.es/rooms/26667654?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-03&check_out=2023-10-08&source_impression_id=p3_1691085331_wv8fYkX9tq0svbs8&previous_page_section_name=1000&federated_search_id=05999c57-9271-4470-93a2-73fb744097e7
118.0,La Puerta Azul Dènia - Surf room,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/34117466?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-05&source_impression_id=p3_1691086165_otlScqBM%2BuZdSQHQ&previous_page_section_name=1000&federated_search_id=959d051f-edb6-4036-b150-c3c8401069dc
121.0,Hermosa habitación en un piso cerca de la playa,,,,,,,,,ceuta,https://www.airbnb.es/rooms/940639217919186842?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691086520_4054JKwywwR7I22C&previous_page_section_name=1000&federated_search_id=24264967-4eb2-45b7-bfb3-1fa9b640c30d
122.0,"R一 habitacion privada,aparca gratis, WiFi",,,,,,,,,pais_vasco,https://www.airbnb.es/rooms/703745196570671076?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691085632_sseM1GnPjYHOkesf&previous_page_section_name=1000&federated_search_id=0b986941-a655-4298-8ccb-2ab6e59006b3
124.0,El rincón de Campián,,,,,,,,,cataluña,https://www.airbnb.es/rooms/42820607?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-13&source_impression_id=p3_1691085937_l3BTapgliFQqMJB2&previous_page_section_name=1000&federated_search_id=623fae17-3a89-44c7-b82e-e76137125768
133.0,Habitacion doble en merida,,,,,,,,,extremadura,https://www.airbnb.es/rooms/29507069?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086346_5eULvE0XpBgGrmiW&previous_page_section_name=1000&federated_search_id=c31a3e0a-656f-431f-9faf-2b0af2ee7448
141.0,"Habitación en Logroño, La Rioja",,,,,,,,,la_rioja,https://www.airbnb.es/rooms/912911679777874107?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691085810_SZIqDO2WusP9ueTr&previous_page_section_name=1000&federated_search_id=8389f586-7cd4-487a-8ec0-8f2c0ebb30ca
