,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,precio,titulo_anuncio,comunidad,url,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones
14,14.0,14.0,14.0,14.0,,,ceuta,https://www.airbnb.es/rooms/924642214240330734?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691086536_ranSngw7Yp30TO0C&previous_page_section_name=1000&federated_search_id=6c70dd28-a836-42c9-b0d4-58f6aeedb44d,,,,,,,
15,15.0,15.0,15.0,15.0,,,comunidad_valenciana,https://www.airbnb.es/rooms/551351579783717131?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-11&source_impression_id=p3_1691086148_RhSe4YJHMkk0iV3Q&previous_page_section_name=1000&federated_search_id=4c0865b2-4c53-4972-855b-c03ebb5e23fd,,,,,,,
16,16.0,16.0,16.0,16.0,35€,Habitación privada acogedora en zona céntrica,navarra,https://www.airbnb.es/rooms/755880566046608844?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-12&source_impression_id=p3_1691085703_hys9EECM0EQSMYUC&previous_page_section_name=1000&federated_search_id=8ba610ee-e12b-4def-a2c0-2f1ceedda312,,,,,,,
17,17.0,17.0,17.0,17.0,45€,bienvenido a todo 1,melilla,https://www.airbnb.es/rooms/895091425748616065?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-05&source_impression_id=p3_1691086617_WL4BMtsMUuhoOSZj&previous_page_section_name=1000&federated_search_id=b9f7a2fe-d1ee-4955-9b93-7dc6ee35ab30,piso,5 viajeros,2 dormitorios,4 camas,1 baño,,
18,18.0,18.0,18.0,18.0,75€,Ático luminoso y vistas al campo,navarra,https://www.airbnb.es/rooms/816643144362686907?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691085699_NE4Yh11SutXEshpb&previous_page_section_name=1000&federated_search_id=9b7f2438-a9ca-42d1-9efe-07447cbb6959,piso,4 viajeros,2 dormitorios,3 camas,1 baño,2,evaluaciones
19,19.0,19.0,19.0,19.0,54€,El mirador de Doñana,andalucia,https://www.airbnb.es/rooms/680361917957539965?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691086452_zl%2FD96VPWuCLEsOR&previous_page_section_name=1000&federated_search_id=eaa6ebec-6e46-48f9-a710-64cfd7c0edd0,piso,2 viajeros,1 dormitorio,2 camas,1 baño,"4,31",36
20,20.0,20.0,20.0,20.0,72€,Apartamento Ventanal,aragon,https://www.airbnb.es/rooms/50136585?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085873_C8sa6k7lSxEl0bJZ&previous_page_section_name=1000&federated_search_id=a37df857-e886-40ea-af94-2a6b7a0ca5ad,loft,4 viajeros,1 dormitorio,2 camas,"1,5 baños","4,47",34
21,21.0,21.0,21.0,21.0,60€,Apartament Gran Pirineu,cataluña,https://www.airbnb.es/rooms/14308376?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691085937_Wizk%2FX1wEELErQaT&previous_page_section_name=1000&federated_search_id=623fae17-3a89-44c7-b82e-e76137125768,piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,74",84
22,22.0,22.0,22.0,22.0,,,pais_vasco,https://www.airbnb.es/rooms/946999693869951309?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085668_912VbvP1NG9frxju&previous_page_section_name=1000&federated_search_id=d5701b0d-fb49-4000-a334-7f48c501ff1b,,,,,,,
23,23.0,23.0,23.0,23.0,51€,Apto con Terraza 302,baleares,https://www.airbnb.es/rooms/859244198254170085?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1691086695_cXkrg3Ml63OCLfUO&previous_page_section_name=1000&federated_search_id=b833ca95-0eed-48ed-97d3-9a3a110e78a3,vivienda,2 viajeros,1 dormitorio,2 camas,1 baño,1,evaluación
