,precio,valoracion,n_evaluaciones,comunidad,url,titulo_anuncio,numero_personas,n_dormitorios,numero_camas,numero_banos
312,,,,aragon,https://www.airbnb.es/rooms/709290558923573735?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1691085865_35uy3liXWav24QMo&previous_page_section_name=1000&federated_search_id=58c7cf4e-4087-4c1f-a350-353ce9ffb2fd,,,,,
313,56€,,,ceuta,https://www.airbnb.es/rooms/944218384722717775?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086532_i9GufZ73uHiwz3wp&previous_page_section_name=1000&federated_search_id=56ad4dd6-e4eb-4c3e-9186-6566cdfdb2e6,,,,,
314,99€,"4,90",39,aragon,https://www.airbnb.es/rooms/726761543040329974?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-07&check_out=2023-09-12&source_impression_id=p3_1691085853_NftQJMy8Ah37qNtw&previous_page_section_name=1000&federated_search_id=ba022d98-3c62-4067-8336-c263ecc4524d,Alojamiento entero: loft. Anfitrión: Jessica,2 viajeros,1 dormitorio,1 cama,1 baño
315,22€,"5,0",10,asturias,https://www.airbnb.es/rooms/747580680849692651?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691085477_bI%2BS7XFzNcVpi%2FGT&previous_page_section_name=1000&federated_search_id=8b80983a-ac9d-4163-b58f-c91dc4489ab7,,,,,
316,,,,madrid,https://www.airbnb.es/rooms/949110212348733883?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086037_Mfp0kmUZ411AyV5v&previous_page_section_name=1000&federated_search_id=f280c5e3-f087-4215-b21f-4a719dcb395f,,,,,
317,130€,"4,72",67,la_rioja,https://www.airbnb.es/rooms/1750322?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085770_pS4FOPo9e22xAnLC&previous_page_section_name=1000&federated_search_id=8b67a557-d522-46fb-b758-f19182693d19,Alojamiento entero: adosado. Anfitrión: Ainhoa,6 viajeros,2 dormitorios,3 camas,2 baños
318,42€,,,ceuta,https://www.airbnb.es/rooms/940685058327552701?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-16&source_impression_id=p3_1691086504_nzyplF94304vjgUa&previous_page_section_name=1000&federated_search_id=20bd90e7-e728-4f8c-a774-f678372af118,,,,,
319,50€,"4,67",89,castilla_la_mancha,https://www.airbnb.es/rooms/42549453?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691086228_F2cH3UvWduvYXwGL&previous_page_section_name=1000&federated_search_id=0c549cdd-86e4-4555-beaf-36e438b3cc66,Alojamiento entero: piso. Anfitrión: Marcos,4 viajeros,2 dormitorios,2 camas,2 baños
320,64€,"4,84",161,cataluña,https://www.airbnb.es/rooms/44475054?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1691085920_yr19tXcNTlhnzVDm&previous_page_section_name=1000&federated_search_id=e00e7f7d-9e26-460f-8f35-419ad1c98ee5,Alojamiento entero: piso. Anfitrión: Jeanine,2 viajeros,1 dormitorio,1 cama,1 baño
321,90€,"4,89",220,cataluña,https://www.airbnb.es/rooms/42480214?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085893_sMroIKMeo1rOdwq9&previous_page_section_name=1000&federated_search_id=5ac28c9a-32b9-4268-82aa-363072527ba9,Casa del árbol. Anfitrión: Thierry,2 viajeros,1 dormitorio,1 cama,1 baño
322,46€,1,evaluación,ceuta,https://www.airbnb.es/rooms/23578880?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691086520_hQ3%2B7Pad3%2BNAgKtl&previous_page_section_name=1000&federated_search_id=24264967-4eb2-45b7-bfb3-1fa9b640c30d,Alojamiento entero: piso. Anfitrión: Hicham,4 viajeros,2 dormitorios,3 camas,1 baño
323,86€,"4,94",16,melilla,https://www.airbnb.es/rooms/42349106?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086569_6xY1fPyFxqkcDKXP&previous_page_section_name=1000&federated_search_id=e77652f9-cf3d-48b8-be8c-28fb636e180c,Alojamiento entero: loft. Anfitrión: Dessiree,6 viajeros,2 dormitorios,3 camas,1 baño
324,55€,"4,86",7,navarra,https://www.airbnb.es/rooms/829356081115124782?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691085711_sI3pjb6Febj%2BgS6j&previous_page_section_name=1000&federated_search_id=61caa4df-ea64-4b99-98f1-7952281d9540,Alojamiento (vivienda). Anfitrión: Yolanda,2 viajeros,1 dormitorio,2 camas,"1,5 baños"
325,,"4,97",30,murcia,https://www.airbnb.es/rooms/602181562829910167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086275_p%2F9lq6tzzWRV1bfk&previous_page_section_name=1000&federated_search_id=6389c3ed-da14-4312-8b4b-9037ed76ef63,Alojamiento entero: piso. Anfitrión: Francisco,2 viajeros,1 dormitorio,1 cama,1 baño
326,46€,"4,84",145,castilla_y_leon,https://www.airbnb.es/rooms/45919877?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-16&check_out=2023-09-22&source_impression_id=p3_1691085993_flYVZnKWuw5ctYmJ&previous_page_section_name=1000&federated_search_id=88f4465e-8c9b-48ed-8cc8-ac9cd1e6df16,Alojamiento entero: casa rural. Anfitrión: Abraida,2 viajeros,Estudio,1 cama,1 baño
327,49€,"4,71",24,murcia,https://www.airbnb.es/rooms/53684163?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086290_7hlAMWh9nH3dl0xp&previous_page_section_name=1000&federated_search_id=3ef442ac-88f8-441e-a93f-f7abf20dea84,Alojamiento entero: piso. Anfitrión: Silverio,2 viajeros,1 dormitorio,1 cama,1 baño
328,72€,"4,95",21,la_rioja,https://www.airbnb.es/rooms/44152220?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-29&check_out=2023-09-03&source_impression_id=p3_1691085795_lR9CtFTBi9SuM50e&previous_page_section_name=1000&federated_search_id=00622a2c-a204-437a-b9a8-6dfbe9a4e0f5,Alojamiento entero: vivienda. Anfitrión: Alejandro VT- LR 1.261,8 viajeros,5 dormitorios,7 camas,"1,5 baños"
329,105€,"4,98",45,castilla_y_leon,https://www.airbnb.es/rooms/676840442184706515?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086009_7NV1EhJvNYuwzMZV&previous_page_section_name=1000&federated_search_id=b4630cea-274f-4c9d-af80-3661f9173b18,Alojamiento entero: chalet. Anfitrión: Carlos,2 viajeros,1 dormitorio,1 cama,1 baño
330,75€,"4,25",4,melilla,https://www.airbnb.es/rooms/35074980?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-07&source_impression_id=p3_1691086610_3xEZ0rrF4mBbLNQK&previous_page_section_name=1000&federated_search_id=f203a7e0-22ac-46c2-b22c-d6e2b359cc7c,Alojamiento entero: piso. Anfitrión: Apartamentos Turisticos,3 viajeros,2 dormitorios,2 camas,1 baño
331,68€,"4,79",19,aragon,https://www.airbnb.es/rooms/685440349777798357?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085884_ai7ME6gnf3PsFS%2BC&previous_page_section_name=1000&federated_search_id=415aca3a-0056-44d2-aef3-28d018fdea57,Alojamiento entero: vivienda vacacional. Anfitrión: Maite,4 viajeros,1 dormitorio,2 camas,1 baño
332,140€,"4,50",42,baleares,https://www.airbnb.es/rooms/13554730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-26&check_out=2023-10-01&source_impression_id=p3_1691086653_vjY%2B88Ri4l5t8GKw&previous_page_section_name=1000&federated_search_id=94779e3f-fa4f-4aa6-9f6e-1fa3b7249cf9,Alojamiento entero: piso. Anfitrión: Marta,2 viajeros,Estudio,1 cama,1 baño
333,38€,1,evaluación,extremadura,https://www.airbnb.es/rooms/23541376?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086404_ZIqtvfGafQk23Jti&previous_page_section_name=1000&federated_search_id=602a9d1a-6239-48ab-848c-f2dd2ff5c2c2,,,,,
334,32€,"4,71",7,ceuta,https://www.airbnb.es/rooms/841321171090604546?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086486_RZA9w4FeeYbsMv7s&previous_page_section_name=1000&federated_search_id=bca7212d-1016-48e6-965a-17e319563bf9,,,,,
335,56€,"4,94",193,aragon,https://www.airbnb.es/rooms/13505949?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691085857_lzq%2FkwsUCR5SBKDf&previous_page_section_name=1000&federated_search_id=54519720-41e4-472a-9c3b-43affb34cd3b,Alojamiento entero: piso. Anfitrión: Carlos,3 viajeros,1 dormitorio,3 camas,1 baño
336,1.288€,,,melilla,https://www.airbnb.es/rooms/944036456302319482?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-10&source_impression_id=p3_1691086586_kYeKj0EEu62RjspM&previous_page_section_name=1000&federated_search_id=81d57981-81df-47a0-ad11-a2216f930ad7,,,,,
337,42€,,,murcia,https://www.airbnb.es/rooms/923597117128067995?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086299_U23my8KeKnGX0XDr&previous_page_section_name=1000&federated_search_id=8d52f324-da10-4646-bcdc-488b72f6ee00,,,,,
338,60€,"4,84",119,cantabria,https://www.airbnb.es/rooms/33037726?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1691085597_i5AINIm95pLqAPs0&previous_page_section_name=1000&federated_search_id=38df2e61-481e-4b91-98de-a36ed2f715ac,Alojamiento entero: apto. residencial. Anfitrión: Juan,4 viajeros,1 dormitorio,4 camas,1 baño
339,31€,"4,88",32,comunidad_valenciana,https://www.airbnb.es/rooms/869520027413418002?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-25&source_impression_id=p3_1691086140_UF%2Fhdbw579FLAUwh&previous_page_section_name=1000&federated_search_id=62f88a3c-3e45-4ef1-a781-d297556d3c5d,,,,,
340,,"4,97",69,valencia,https://www.airbnb.es/rooms/52998604?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085341_kCkMCNrkColSa58I&previous_page_section_name=1000&federated_search_id=9a8c8858-8187-482b-bbb7-e88b3bf9cfda,,,,,
341,60€,"4,78",9,cantabria,https://www.airbnb.es/rooms/50059234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085549_ZljI%2FO7C4rlRoGH0&previous_page_section_name=1000&federated_search_id=6b3ce089-ee17-43bc-b1b0-13e06f17bd5f,Hostal. Anfitrión: Amparo,2 viajeros,1 dormitorio,1 cama,1 baño compartido
342,,"4,69",242,madrid,https://www.airbnb.es/rooms/9460773?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086102_53YKrbuwQrfflmeJ&previous_page_section_name=1000&federated_search_id=bc7f9b21-13bf-489c-85b4-148ad3231254,Alojamiento entero: piso. Anfitrión: Pedro,3 viajeros,1 dormitorio,1 cama,1 baño
343,90€,"5,0",5,la_rioja,https://www.airbnb.es/rooms/673835759664355648?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085806_GzdLO9sXUYPac2Dp&previous_page_section_name=1000&federated_search_id=875845f6-e7cb-4e1f-849f-8049e7d211f6,Alojamiento entero: apto. residencial. Anfitrión: María Pilar,4 viajeros,2 dormitorios,4 camas,1 baño
344,39€,"4,92",74,la_rioja,https://www.airbnb.es/rooms/5741334?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691085766_q6g1MTU%2BiNJvKNMy&previous_page_section_name=1000&federated_search_id=24d89555-bc4f-4054-a78b-936ec0fbb1de,,,,,
345,179€,"4,88",97,extremadura,https://www.airbnb.es/rooms/607735164261500847?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691086332_qEYDcNJFgHiN1DgC&previous_page_section_name=1000&federated_search_id=188d98d2-0723-47d8-ae37-22d020b02010,Alojamiento entero: villa. Anfitrión: Jara,2 viajeros,1 dormitorio,1 cama,1 baño
346,55€,"4,94",16,baleares,https://www.airbnb.es/rooms/814408403955242753?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1691086640_5bu8QCAD4ZPuRQsJ&previous_page_section_name=1000&federated_search_id=3bf09766-480f-4640-a923-7efd2ebe8cba,,,,,
347,120€,,,valencia,https://www.airbnb.es/rooms/948589944572156807?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085341_uq9lbXsuVPD2F7il&previous_page_section_name=1000&federated_search_id=9a8c8858-8187-482b-bbb7-e88b3bf9cfda,,,,,
348,108€,"5,0",62,asturias,https://www.airbnb.es/rooms/45357696?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1691085518_KQ9gvNByjISQLpfg&previous_page_section_name=1000&federated_search_id=ce6bf819-7ded-4a23-bae0-f778ba28ce81,,,,,
349,77€,"4,81",16,melilla,https://www.airbnb.es/rooms/571694750360371698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691086582_WTTWPntGnzdZicts&previous_page_section_name=1000&federated_search_id=ec6e7866-7611-49d6-afe6-eb0d5a96f79c,Alojamiento entero: piso. Anfitrión: Sofian,5 viajeros,2 dormitorios,3 camas,1 baño
350,100€,,,galicia,https://www.airbnb.es/rooms/946390618707224632?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085435_GyWmV%2FPcEyWMcIWD&previous_page_section_name=1000&federated_search_id=0954f288-876f-4c03-a747-bbf0227fe003,,,,,
351,180€,"4,86",49,pais_vasco,https://www.airbnb.es/rooms/15319549?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085640_Iv467HlVtaxmdDwr&previous_page_section_name=1000&federated_search_id=c79de80a-6aa6-4a77-8a65-93b03c5b650c,Alojamiento entero: piso. Anfitrión: Julen,4 viajeros,1 dormitorio,3 camas,1 baño
352,,"4,67",6,cantabria,https://www.airbnb.es/rooms/676638079303731793?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-16&source_impression_id=p3_1691085558_VV%2FwJZBpzbWP1Z8B&previous_page_section_name=1000&federated_search_id=a345c60f-4489-4ad4-a674-282fcc165fbd,,,,,
353,72€,"5,0",3,baleares,https://www.airbnb.es/rooms/933914983409943455?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691086682_Gf6yZc0X2g%2F%2Bn8BH&previous_page_section_name=1000&federated_search_id=684ff2f9-4d23-4dd1-b22b-4cce5cd9b2a7,,,,,
354,180€,"4,94",51,la_rioja,https://www.airbnb.es/rooms/2436358?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691085799_qbPL99e9cgzHYNva&previous_page_section_name=1000&federated_search_id=678c079a-0bb1-4ea7-8a80-33c5cc3f232f,Alojamiento entero: vivienda. Anfitrión: Jose,8 viajeros,3 dormitorios,5 camas,2 baños
355,75€,"4,65",84,baleares,https://www.airbnb.es/rooms/49136978?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-28&check_out=2023-10-03&source_impression_id=p3_1691086661_e007CFp1Qw6TMC4Y&previous_page_section_name=1000&federated_search_id=61026d33-baa1-4adf-a1ad-bf8aa7846835,,,,,
356,123€,"4,67",3,asturias,https://www.airbnb.es/rooms/879572847855691178?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691085514_WXDIt1MbJF%2FOZhxJ&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567,Tienda de campaña. Anfitrión: Kampaoh,2 viajeros,1 dormitorio,1 cama,1 baño compartido
357,297€,,,melilla,https://www.airbnb.es/rooms/925239799501957577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086582_LehssqumSlkFu0QX&previous_page_section_name=1000&federated_search_id=ec6e7866-7611-49d6-afe6-eb0d5a96f79c,,,,,
358,32€,"4,46",13,pais_vasco,https://www.airbnb.es/rooms/921450017747309765?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-09-30&source_impression_id=p3_1691085640_d%2FhmP84cVyfdnnZC&previous_page_section_name=1000&federated_search_id=c79de80a-6aa6-4a77-8a65-93b03c5b650c,,,,,
359,,"4,60",5,valencia,https://www.airbnb.es/rooms/869536639697545704?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085350_CYPNIgrImiGtET4A&previous_page_section_name=1000&federated_search_id=2b74227d-507c-474c-a98f-bd87e15f3143,,,,,
360,40€,"4,91",565,andalucia,https://www.airbnb.es/rooms/922142?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691086436_ViEZRLGTfngovvv0&previous_page_section_name=1000&federated_search_id=380b503c-6271-433c-acd7-b4d90eb22511,,,,,
361,46€,"4,67",36,cantabria,https://www.airbnb.es/rooms/644576601282782591?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691085571_jxpI2lXL3rF36yfr&previous_page_section_name=1000&federated_search_id=112093d5-b155-4188-a9b5-e4961ca9e712,Alojamiento entero: piso. Anfitrión: Agnes,2 viajeros,Estudio,1 cama,1 baño
362,60€,,,murcia,https://www.airbnb.es/rooms/931198362577911300?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086311_Zz9UZhAGPxXRkldo&previous_page_section_name=1000&federated_search_id=6a4e4557-dac3-4da7-ad4a-872eb39fcd81,,,,,
363,88€,"4,88",99,asturias,https://www.airbnb.es/rooms/37244931?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-05&source_impression_id=p3_1691085489_unPAbUVOub0eTlmT&previous_page_section_name=1000&federated_search_id=aaa68aae-f7ed-43bf-bd1f-48c0b360ff6a,Alojamiento entero: piso. Anfitrión: Robin,3 viajeros,1 dormitorio,2 camas,1 baño
364,29€,"4,83",24,madrid,https://www.airbnb.es/rooms/832013981205919237?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086094_lF6LvdcB6%2B0SE3lM&previous_page_section_name=1000&federated_search_id=acf17f98-b6f3-4804-8e2a-b598b276d60f,,,,,
365,55€,"4,74",61,la_rioja,https://www.airbnb.es/rooms/24621951?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691085775_eNqeDXjkyQu9iNOZ&previous_page_section_name=1000&federated_search_id=3e2967f0-fc2d-47b9-9dde-05091ae955ee,Alojamiento entero: piso. Anfitrión: Carol,8 viajeros,3 dormitorios,6 camas,"1,5 baños"
366,119€,"4,88",76,navarra,https://www.airbnb.es/rooms/12810274?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691085728_AGRgsNU%2BmnbRq%2FYa&previous_page_section_name=1000&federated_search_id=b498fda4-4a78-4059-b4ca-275b73c5a549,Alojamiento entero: chalet. Anfitrión: Luis,4 viajeros,2 dormitorios,4 camas,2 baños
367,35€,"4,90",21,cataluña,https://www.airbnb.es/rooms/16442653?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085941_jA7pet9xOaTTydwM&previous_page_section_name=1000&federated_search_id=4c4ea3fe-de6e-4fb5-bbbf-abb37734e0ea,,,,,
368,22€,"4,77",88,madrid,https://www.airbnb.es/rooms/605012123499045765?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-10&source_impression_id=p3_1691086037_whWc95o2Qo7ZNlPE&previous_page_section_name=1000&federated_search_id=f280c5e3-f087-4215-b21f-4a719dcb395f,,,,,
369,27€,,,madrid,https://www.airbnb.es/rooms/948753429177282434?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086060_g0%2F6YlTC1N6utqyW&previous_page_section_name=1000&federated_search_id=c8bcf9b3-48c9-4dfb-a38a-4645fccc79f6,,,,,
370,55€,"4,64",61,galicia,https://www.airbnb.es/rooms/19692646?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085419_IQ%2FbcayqOPJvE0s8&previous_page_section_name=1000&federated_search_id=35f1baf4-7172-46fc-8a8c-cec85d19a936,,,,,
371,,"4,80",10,castilla_la_mancha,https://www.airbnb.es/rooms/868695543868515094?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-17&source_impression_id=p3_1691086248_wCF3%2FKSIlQme%2B7Ss&previous_page_section_name=1000&federated_search_id=6f2fcb2c-fcb2-48cb-ba68-910bb71aa379,Alojamiento entero: piso. Anfitrión: Sergio,2 viajeros,1 dormitorio,1 cama,1 baño
372,59€,"4,67",33,asturias,https://www.airbnb.es/rooms/49925993?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691085477_hu6kYGCgAwshRnBN&previous_page_section_name=1000&federated_search_id=8b80983a-ac9d-4163-b58f-c91dc4489ab7,Alojamiento entero: apartamento con servicios. Anfitrión: Carolina,2 viajeros,1 dormitorio,1 cama,1 baño
373,77€,"5,0",4,castilla_y_leon,https://www.airbnb.es/rooms/877916917514492347?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085997_0PvbFoyrk7Bho1vu&previous_page_section_name=1000&federated_search_id=26d3c233-9c23-44d6-9a61-e538221c3edc,Alojamiento entero: vivienda. Anfitrión: María Nieves,4 viajeros,1 dormitorio,2 camas,1 baño
374,69€,"5,0",17,castilla_y_leon,https://www.airbnb.es/rooms/857098183717342892?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691086025_s3ZookNhzZzkfRYO&previous_page_section_name=1000&federated_search_id=020f3247-d7ea-4824-8c76-26dc7189de1e,Alojamiento entero: piso. Anfitrión: Raquel,4 viajeros,1 dormitorio,2 camas,"1,5 baños"
375,,"4,84",43,castilla_la_mancha,https://www.airbnb.es/rooms/36519363?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086208_xa9rUtV49Ff7waYd&previous_page_section_name=1000&federated_search_id=f359ae9c-bc30-4004-a527-1e94972f228c,Alojamiento entero: piso. Anfitrión: Gema,2 viajeros,1 dormitorio,1 cama,1 baño
376,100€,"5,0",5,ceuta,https://www.airbnb.es/rooms/656546312450081456?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1691086509_Fpytc9lJJwNeL%2BIc&previous_page_section_name=1000&federated_search_id=057217bf-ed44-4be3-b4c8-3e414d58f9cd,Alojamiento entero: vivienda vacacional. Anfitrión: Eugenio,2 viajeros,1 dormitorio,2 camas,"1,5 baños"
377,,"4,33",3,valencia,https://www.airbnb.es/rooms/928811132967498325?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085375_Ubx%2BuQQh8p3fj5el&previous_page_section_name=1000&federated_search_id=85512cb0-df72-49b1-b51b-52564e2f0df4,,,,,
378,48€,"4,80",123,cantabria,https://www.airbnb.es/rooms/28880778?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085558_2Y7tLn%2BBvO2VWxus&previous_page_section_name=1000&federated_search_id=a345c60f-4489-4ad4-a674-282fcc165fbd,,,,,
379,54€,"4,90",10,extremadura,https://www.airbnb.es/rooms/620139001600368522?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086363_7LzgjhgjYrrPi4qL&previous_page_section_name=1000&federated_search_id=969fb88e-1bfc-4875-8cbe-da527822721e,Hostal. Anfitrión: Sayoa,2 viajeros,1 dormitorio,1 cama,1 baño privado
380,235€,"4,96",70,navarra,https://www.airbnb.es/rooms/936916?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085740_rf4nIfQPLTkFC9TC&previous_page_section_name=1000&federated_search_id=1d9330a6-cc5d-4cde-ace7-b39a08194ef2,Alojamiento entero: vivienda. Anfitrión: Alfonso,12 viajeros,5 dormitorios,9 camas,4 baños
