,precio,valoracion,n_evaluaciones,comunidad,url,titulo_anuncio,numero_personas,n_dormitorios,numero_camas,numero_banos
15,100€,"4,83",12,baleares,https://www.airbnb.es/rooms/725778427812484014?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-08&check_out=2023-10-13&source_impression_id=p3_1691086682_u3b3fwGU5uwV46%2Bm&previous_page_section_name=1000&federated_search_id=684ff2f9-4d23-4dd1-b22b-4cce5cd9b2a7,Hotel boutique. Anfitrión: Unic,2 viajeros,1 dormitorio,2 camas,1 baño privado
16,50€,1,evaluación,comunidad_valenciana,https://www.airbnb.es/rooms/922616926144234180?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086131_axVFtVZaLgg%2FZgII&previous_page_section_name=1000&federated_search_id=3d93f66a-5e74-4fef-af14-e061d1048c2f,Alojamiento (casa rural). Anfitrión: Patricia,2 viajeros,1 dormitorio,1 cama,1 baño privado
17,,"4,60",5,asturias,https://www.airbnb.es/rooms/51386431?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691085518_FVF2ldsrCxfayoWa&previous_page_section_name=1000&federated_search_id=ce6bf819-7ded-4a23-bae0-f778ba28ce81,,,,,
18,60€,"4,75",4,castilla_la_mancha,https://www.airbnb.es/rooms/743414012465413312?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086252_mUjKGQm%2FGJkUI3HT&previous_page_section_name=1000&federated_search_id=10b3325f-93e8-4cac-a023-c47a93311067,,,,,
19,38€,"4,83",100,castilla_la_mancha,https://www.airbnb.es/rooms/623930673489067881?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691086204_bVPDBfRK2BWUkV7Z&previous_page_section_name=1000&federated_search_id=52c46078-d656-4620-bd52-34359b851775,Alojamiento entero: suite con entrada independiente. Anfitrión: Itziar,3 viajeros,1 dormitorio,2 camas,1 baño
20,,,,ceuta,https://www.airbnb.es/rooms/946926007792478708?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086504_G5qb2C2G%2B3kj%2Ftie&previous_page_section_name=1000&federated_search_id=20bd90e7-e728-4f8c-a774-f678372af118,,,,,
21,47€,"5,0",4,cantabria,https://www.airbnb.es/rooms/928203049196502240?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1691085558_tQ%2FvIJ5iQ8K9bSox&previous_page_section_name=1000&federated_search_id=a345c60f-4489-4ad4-a674-282fcc165fbd,,,,,
22,51€,"4,48",226,cataluña,https://www.airbnb.es/rooms/7127581?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691085933_fyJoVzDZEyWODi69&previous_page_section_name=1000&federated_search_id=f986ccfe-0d08-4658-8c98-272174a6c91a,Alojamiento entero: piso. Anfitrión: Josep,4 viajeros,2 dormitorios,3 camas,1 baño
23,60€,"4,87",113,cataluña,https://www.airbnb.es/rooms/24111725?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691085924_wR1zwLJC4daJFVDy&previous_page_section_name=1000&federated_search_id=c03c9b9c-a2ce-4fb0-9e27-34ce978f22e4,Alojamiento (yurta). Anfitrión: Sabine,3 viajeros,1 dormitorio,2 camas,2 baños compartidos
24,85€,"4,48",23,navarra,https://www.airbnb.es/rooms/670190814782585699?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1691085744_49%2FL3XH5v1YXyouZ&previous_page_section_name=1000&federated_search_id=5fc13d75-1b8a-4ea6-8b01-649fb2eda7e8,Alojamiento entero: piso. Anfitrión: Ángel,3 viajeros,1 dormitorio,1 cama,1 baño
