,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
238,"La cabaña alpina, parcela independiente naturaleza",casa rural,6 viajeros,4 dormitorios,5 camas,1 baño,"4,78",160,106€,castilla_la_mancha,https://www.airbnb.es/rooms/33684702?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-04&source_impression_id=p3_1691086220_RYDwpcSlw7JMzFQN&previous_page_section_name=1000&federated_search_id=fd8be956-1c2a-4cba-a75d-2ce3f91af429
239,Apartamento amueblado y equipado 2,piso,5 viajeros,2 dormitorios,2 camas,1 baño,"4,50",4,55€,melilla,https://www.airbnb.es/rooms/901316716441575993?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-22&source_impression_id=p3_1691086594_dfTU%2BE7Ip9dACLet&previous_page_section_name=1000&federated_search_id=4e0efee2-1273-4cfe-8cda-85e9db70d91f
240,Bonito apartamento muy muy cerca del lago .,,,,,,,,,melilla,https://www.airbnb.es/rooms/876894432788299953?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086621_a0Iu78GXXLFOdu16&previous_page_section_name=1000&federated_search_id=d7cf7e74-98c3-4468-86dd-76e02afbf9b3
241,Apartamento Low Cost L12E5713/2019,piso,2 viajeros,2 dormitorios,3 camas,1 baño,"4,78",131,74€,baleares,https://www.airbnb.es/rooms/2797343?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-14&check_out=2024-02-19&source_impression_id=p3_1691086626_9v14e3q%2BO8aDAJGP&previous_page_section_name=1000&federated_search_id=25d6f8ef-1426-4009-a1a6-b007ee094b9b
242,"Casa Villa Saús, un verdadero paraíso.",casa rural,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,90",118,57€,asturias,https://www.airbnb.es/rooms/43412992?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-11&check_out=2023-10-16&source_impression_id=p3_1691085485_1dLbzDwbntk9l4NJ&previous_page_section_name=1000&federated_search_id=5fcdb7d7-12b2-4ad5-a7b5-ea75740d2723
243,ATC-3 Apartment Airport &Center,piso,2 viajeros,1 dormitorio,1 cama,1 baño,,,,cataluña,https://www.airbnb.es/rooms/949125077124546334?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085933_qb7LSywZGpVHcati&previous_page_section_name=1000&federated_search_id=f986ccfe-0d08-4658-8c98-272174a6c91a
244,"LLAMAS Y YURTAS, LA SERRA D'ALMOS (O)",Sabine,3 viajeros,1 dormitorio,2 camas,2 baños compartidos,"4,97",68,35€,aragon,https://www.airbnb.es/rooms/32893205?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-29&source_impression_id=p3_1691085845_ccc9SUMFui9l4ja7&previous_page_section_name=1000&federated_search_id=a2ff12aa-4480-4548-b869-965d44e44439
245,"O Courel, verán fresco",vivienda,7 viajeros,3 dormitorios,7 camas,1 baño,"4,81",72,62€,galicia,https://www.airbnb.es/rooms/38978155?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085447_7U6VXl7buolRLLvA&previous_page_section_name=1000&federated_search_id=02d85ad4-0dae-4e2b-9ba5-969df70670ac
246,Villa LuxuryEl Angel,vivienda,8 viajeros,4 dormitorios,6 camas,"3,5 baños",,,,castilla_y_leon,https://www.airbnb.es/rooms/944761225657001933?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085997_qLf7G0T9X3LYM59w&previous_page_section_name=1000&federated_search_id=26d3c233-9c23-44d6-9a61-e538221c3edc
247,Casa Juanita,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,83",53,65€,baleares,https://www.airbnb.es/rooms/15161124?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-10-02&source_impression_id=p3_1691086665_q0o1BdWsm1QDC7Se&previous_page_section_name=1000&federated_search_id=46231895-ddc5-409d-ac67-51cc9d473d85
248,"Habitación cómoda, cama individual santa Catalina",,,,,,,,,baleares,https://www.airbnb.es/rooms/50908146?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086661_Sv%2FosMMK3QzLG4Hm&previous_page_section_name=1000&federated_search_id=61026d33-baa1-4adf-a1ad-bf8aa7846835
249,Apartamento muy bonito y aseado,,,,,,,,,galicia,https://www.airbnb.es/rooms/749803792807173923?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085423_AB2aSCmzXzk7%2FCmT&previous_page_section_name=1000&federated_search_id=1ff38b49-fee4-4bbe-9f77-4d42073c5db1
250,Acogedor dormitorio privado en una ubicación perfecta,,,,,,,,,valencia,https://www.airbnb.es/rooms/700744002984723269?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085371_M4HwJM25R9wPK74L&previous_page_section_name=1000&federated_search_id=17ecb331-8746-4398-a500-40136d3f3c40
251,Espacioso Matar,piso,5 viajeros,2 dormitorios,3 camas,"1,5 baños",,,,melilla,https://www.airbnb.es/rooms/895056923604431501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691086613_N8uvI3Zp6%2BvsvrK2&previous_page_section_name=1000&federated_search_id=b67421ed-36a3-4506-a32a-337d22d75b73
252,Habitación con mucha luz natural,,,,,,,,,baleares,https://www.airbnb.es/rooms/52578043?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-19&check_out=2023-09-24&source_impression_id=p3_1691086678_EL3zMs7NBvTfssqk&previous_page_section_name=1000&federated_search_id=ae9f73bc-5549-44a7-98be-ce3291469e81
253,Duplex tipo loft en la sierra.,Paloma,2 viajeros,1 dormitorio,1 cama,"1,5 baños",1,evaluación,100€,extremadura,https://www.airbnb.es/rooms/924297736697626434?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086354_TFMghzntGD3ddBl2&previous_page_section_name=1000&federated_search_id=a01b7ab3-870d-4240-8747-a3a769a87ff8
254,Habitación con baño privado,,,,,,,,,cantabria,https://www.airbnb.es/rooms/51305321?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085584_soT1nKWR8Kxn7anb&previous_page_section_name=1000&federated_search_id=4cf0edb4-cf4e-4162-abfd-d626d7ecff2a
255,"Habitación tranquila, limpia y bien ubicada",,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/886209772839986426?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-09&source_impression_id=p3_1691086157_pwncgfdrnfQCfBPw&previous_page_section_name=1000&federated_search_id=b1b5ebc4-61b5-467b-a1d2-d82bcfeb4561
256,Casita de madera en el campo,Marta,1 viajero,1 dormitorio,1 cama,1 baño compartido,"4,75",4,50€,baleares,https://www.airbnb.es/rooms/867848266624888703?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-10&source_impression_id=p3_1691086686_5K9jjnblDqoQl0Aq&previous_page_section_name=1000&federated_search_id=d9d8b04f-5395-4daa-9b3c-9caab2159266
257,Acogedora casa Ergoiena San donato,vivienda,6 viajeros,1 dormitorio,4 camas,1 baño,"4,88",43,88€,pais_vasco,https://www.airbnb.es/rooms/51364775?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-13&source_impression_id=p3_1691085656_tXIk%2FPq016xw61p%2F&previous_page_section_name=1000&federated_search_id=ebd8fb6f-1272-4b76-a753-0789fcf83d2b
258,"Potes, apartamento a 10 kilometros",piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,89",75,55€,asturias,https://www.airbnb.es/rooms/27537395?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085530_sTEeUhChdxoGKhOI&previous_page_section_name=1000&federated_search_id=003b642d-51e4-464f-9ceb-a3093b2f1401
259,Apartamento en Betlem,apto,3 viajeros,1 dormitorio,1 cama,1 baño,"4,61",195,60€,baleares,https://www.airbnb.es/rooms/2963376?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-16&check_out=2023-10-21&source_impression_id=p3_1691086653_%2FbJODDIJEZl4%2BTxC&previous_page_section_name=1000&federated_search_id=94779e3f-fa4f-4aa6-9f6e-1fa3b7249cf9
260,"Sarchal ROOM.""ONE&ONLY Suites""-CENTRO Ceuta.",,,,,,,,,ceuta,https://www.airbnb.es/rooms/51127503?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691086509_96t5RVvpgcOzZCOI&previous_page_section_name=1000&federated_search_id=057217bf-ed44-4be3-b4c8-3e414d58f9cd
261,Habitación centro Madrid,,,,,,,,,madrid,https://www.airbnb.es/rooms/944040088208181520?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086098_WLg%2BzWIQJe%2FzQAog&previous_page_section_name=1000&federated_search_id=04805f57-90e4-4064-bda5-a48e8154eccd
262,Cortijo Andalusol,,,,,,,,,andalucia,https://www.airbnb.es/rooms/30130164?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086465_jJ61e2XKHB%2BB%2BM2X&previous_page_section_name=1000&federated_search_id=169d9bbd-c634-402b-b9a1-333da7c9ec2d
263,B&B cerca de Gibraltar,,,,,,,,,andalucia,https://www.airbnb.es/rooms/8416736?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1691086444_6hz7ImA2Q%2BqEdJmG&previous_page_section_name=1000&federated_search_id=9d065b67-da3f-403f-a4b7-9a498a2c96b0
264,Apartamento de 3 dormitorios a estrenar -4,piso,6 viajeros,3 dormitorios,3 camas,1 baño,,,,valencia,https://www.airbnb.es/rooms/947611856441076502?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-11&source_impression_id=p3_1691085371_uJpKqTBMXc%2Bm%2FEMh&previous_page_section_name=1000&federated_search_id=17ecb331-8746-4398-a500-40136d3f3c40
265,Alojáte más barato que un hotel.,,,,,,,,,madrid,https://www.airbnb.es/rooms/841893725152248176?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086051_cXXFmearS81%2BT1ve&previous_page_section_name=1000&federated_search_id=1432602d-c107-41c2-8f2d-45d610bcebd2
266,"Casa Rústica, barbacoa, piscina y jardín privado.",vivienda,5 viajeros,3 dormitorios,4 camas,2 baños,"4,94",33,120€,galicia,https://www.airbnb.es/rooms/25886135?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691085451_8heJDRdVgtUr5maJ&previous_page_section_name=1000&federated_search_id=da7a32ac-78e9-4c66-b58b-f35de33dc4e8
267,2. Can Xumeu Carlos - Formentera,casa rural,2 viajeros,1 dormitorio,2 camas,1 baño,"4,94",53,88€,baleares,https://www.airbnb.es/rooms/13829892?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-28&check_out=2023-10-04&source_impression_id=p3_1691086686_JdboK1bpSF%2Ft6pY5&previous_page_section_name=1000&federated_search_id=d9d8b04f-5395-4daa-9b3c-9caab2159266
268,Alcoy La Ciudad de los puentes,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/831631367182980130?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086126_%2Fq9DAIqGVW5qnIKn&previous_page_section_name=1000&federated_search_id=025e1cd6-c69d-4ac8-a6cc-892b43929da1
269,Encantador apartamento en Villafranca de Córdoba,piso,4 viajeros,2 dormitorios,3 camas,1 baño,,,,andalucia,https://www.airbnb.es/rooms/944978658865578047?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086432_iUMpWXXL1Cna5g6d&previous_page_section_name=1000&federated_search_id=d5e92cc4-b63f-4524-8b64-f1d3557f1087
270,Appart-Hotel Cabo dream equipado,piso,3 viajeros,1 dormitorio,5 camas,1 baño,2,evaluaciones,83€,ceuta,https://www.airbnb.es/rooms/931014470946699289?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086532_gGaLKZW1Uu8O1u5A&previous_page_section_name=1000&federated_search_id=56ad4dd6-e4eb-4c3e-9186-6566cdfdb2e6
271,"Carga tipi con vistas al mar, tienda de campaña 2.",Marcos,2 viajeros,1 dormitorio,1 baño compartido,,,,,andalucia,https://www.airbnb.es/rooms/51696822?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086452_stBZdJdLvE0dYYHm&previous_page_section_name=1000&federated_search_id=eaa6ebec-6e46-48f9-a710-64cfd7c0edd0
272,La Solanina de Portizuelo,casa rural,2 viajeros,1 dormitorio,1 cama,1 baño,"4,95",57,120€,asturias,https://www.airbnb.es/rooms/20785130?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085530_PLpJ7FPzsZiWsAGb&previous_page_section_name=1000&federated_search_id=003b642d-51e4-464f-9ceb-a3093b2f1401
273,Precioso apto en Arriondas.,piso,4 viajeros,1 dormitorio,3 camas,1 baño,,,,asturias,https://www.airbnb.es/rooms/944586116606857148?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691085526_0tZlMphTri15lFtw&previous_page_section_name=1000&federated_search_id=42da71f5-7cc1-4953-a8c5-75750a1adb46
274,Apartamento + parking Pamplona (Ansoáin),piso,3 viajeros,1 dormitorio,2 camas,1 baño,"4,93",194,65€,navarra,https://www.airbnb.es/rooms/28477253?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-27&source_impression_id=p3_1691085735_4N%2FTnplI%2BbToJjKy&previous_page_section_name=1000&federated_search_id=4aa57621-a0f6-4e2a-a42d-7cb540e7e756
275,A.T. Arquimedes 1-3; Melilla a un paso,piso,4 viajeros,2 dormitorios,3 camas,1 baño,2,evaluaciones,86€,melilla,https://www.airbnb.es/rooms/32841527?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-07&source_impression_id=p3_1691086613_uPyE3yZHMSP1bJw6&previous_page_section_name=1000&federated_search_id=b67421ed-36a3-4506-a32a-337d22d75b73
276,"En particular, dúplex",apto,6 viajeros,2 dormitorios,3 camas,3 baños,"4,60",69,35€,comunidad_valenciana,https://www.airbnb.es/rooms/2570370?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-09-30&source_impression_id=p3_1691086165_0yAu4FuaPMGwtc%2BS&previous_page_section_name=1000&federated_search_id=959d051f-edb6-4036-b150-c3c8401069dc
277,Casa A cantiga.,casa rural,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,93",29,120€,galicia,https://www.airbnb.es/rooms/652901568621335098?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-03&source_impression_id=p3_1691085431_Hus5V%2FwrJ4Xe8BoL&previous_page_section_name=1000&federated_search_id=e9600b70-d00b-4c0a-be3e-31f2ccd10f32
278,Apartamento en pueblo marinero al lado de la playa,piso,4 viajeros,2 dormitorios,3 camas,1 baño,"4,97",32,105€,pais_vasco,https://www.airbnb.es/rooms/691979294348822550?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691085672_L5oC776k%2Fs1wBgor&previous_page_section_name=1000&federated_search_id=af0c58d0-857c-4237-ba49-44879f9a741c
279,"loft ca la Magda ,Sant Llorenç de Montgai .",loft,2 viajeros,1 dormitorio,2 camas,1 baño,"4,70",107,95€,cataluña,https://www.airbnb.es/rooms/18909771?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085920_sKlk4%2F1KXCHNWd22&previous_page_section_name=1000&federated_search_id=e00e7f7d-9e26-460f-8f35-419ad1c98ee5
280,Acogedor apartamento al sur de la Sierra de Gredos,apto,2 viajeros,1 dormitorio,1 cama,1 baño,"5,0",23,62€,castilla_y_leon,https://www.airbnb.es/rooms/53397650?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691086029_sqHuzKnEumKHGIxL&previous_page_section_name=1000&federated_search_id=c6b611c9-94f0-4797-89a3-cbf8f10fa52b
281,Vistas panorámicas y relax,piso,6 viajeros,2 dormitorios,3 camas,1 baño,"5,0",7,,castilla_y_leon,https://www.airbnb.es/rooms/877974824620775885?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085997_t55e%2Bm0pgC%2BIvn29&previous_page_section_name=1000&federated_search_id=26d3c233-9c23-44d6-9a61-e538221c3edc
282,bonito apartamento en alquiler en Cabo,piso,4 viajeros,1 dormitorio,1 cama,1 baño,,,,ceuta,https://www.airbnb.es/rooms/947968023944936474?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086524_ZpCXKIEs2mixAPnP&previous_page_section_name=1000&federated_search_id=9468dbfa-396d-4595-9249-0d5e62bb5952
283,SUITE LUJOSO CON CHIMENEA,vivienda,4 viajeros,1 dormitorio,2 camas,1 baño,"4,66",229,68€,castilla_la_mancha,https://www.airbnb.es/rooms/4209600?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691086232_v6g96dveuPcGM2AJ&previous_page_section_name=1000&federated_search_id=7fa2e520-da38-4611-ac23-a14ddf2a38b4
284,Chalet Acogedor en Alcalá de la Selva,chalet,6 viajeros,3 dormitorios,4 camas,2 baños,1,evaluación,,aragon,https://www.airbnb.es/rooms/888180288696788490?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691085861_tnkh54hoimOq9FMp&previous_page_section_name=1000&federated_search_id=50aa6b5f-0da8-4a55-8cd5-666dd138e930
285,"Baena casa en las montañas León,fin de carretera",casa rural,2 viajeros,1 dormitorio,1 cama,1 baño,"4,89",47,,castilla_y_leon,https://www.airbnb.es/rooms/36763564?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085997_PLQcLAGrkKmRaf8G&previous_page_section_name=1000&federated_search_id=26d3c233-9c23-44d6-9a61-e538221c3edc
286,Habitación bonita,,,,,,,,,baleares,https://www.airbnb.es/rooms/944296243734446082?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691086686_pBzWprJtAG2%2FlVIT&previous_page_section_name=1000&federated_search_id=d9d8b04f-5395-4daa-9b3c-9caab2159266
287,El Caxico: casa rural,casa rural,4 viajeros,2 dormitorios,5 camas,2 baños,"5,0",12,60€,navarra,https://www.airbnb.es/rooms/736640679246615309?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691085711_EY1InNlS0CDFtnrE&previous_page_section_name=1000&federated_search_id=61caa4df-ea64-4b99-98f1-7952281d9540
288,Habitacion individual en centro Valencia(N7),,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/661413368990306621?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-29&check_out=2023-11-03&source_impression_id=p3_1691086181_tEQ1SpRonxhtcKCn&previous_page_section_name=1000&federated_search_id=631070d1-c9b0-40d3-881a-dd0f7647920c
289,Utsusabar baserria,vivienda,8 viajeros,3 dormitorios,4 camas,2 baños,"5,0",49,220€,navarra,https://www.airbnb.es/rooms/44055274?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691085731_zWDXTxKBJmUP4F2s&previous_page_section_name=1000&federated_search_id=db3936bb-34ca-4be5-bbf1-72b0102a1134
290,☙Te encontrarás como en tu casa ❧,,,,,,,,,navarra,https://www.airbnb.es/rooms/38155083?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-15&check_out=2023-09-20&source_impression_id=p3_1691085681_GjHyseI160BLE29I&previous_page_section_name=1000&federated_search_id=2781065c-6f62-431b-8da2-8ab61126d391
291,Apartamento con panorámicas a playa de Xago,vivienda vacacional,4 viajeros,2 dormitorios,3 camas,1 baño,"4,83",18,,asturias,https://www.airbnb.es/rooms/631551939352979971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085514_gCxL1XlEaROWGLGy&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567
292,Confort individual (solo habitación),Hotel_Fenix,1 viajero,1 dormitorio,1 cama,1 baño,"4,90",30,76€,baleares,https://www.airbnb.es/rooms/50738396?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086682_FBKu803GS7xtrhV8&previous_page_section_name=1000&federated_search_id=684ff2f9-4d23-4dd1-b22b-4cce5cd9b2a7
293,"Habitación cerca de la playa, El Cabanyal",,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/225070?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691086157_dMBAML40XOn1sacC&previous_page_section_name=1000&federated_search_id=b1b5ebc4-61b5-467b-a1d2-d82bcfeb4561
294,Suite individual,Juan Francisco,2 viajeros,1 dormitorio,1 baño privado,,,,,madrid,https://www.airbnb.es/rooms/40194520?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-26&check_out=2023-10-01&source_impression_id=p3_1691086098_zmVzU4xO3NkT8D74&previous_page_section_name=1000&federated_search_id=04805f57-90e4-4064-bda5-a48e8154eccd
295,«La Siesta»,chalet,4 viajeros,2 dormitorios,3 camas,2 baños,"5,0",4,150€,extremadura,https://www.airbnb.es/rooms/922295296341600641?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1691086354_EMoum2SUVrZk3QVd&previous_page_section_name=1000&federated_search_id=a01b7ab3-870d-4240-8747-a3a769a87ff8
296,El capricho de Calatayud,piso,6 viajeros,2 dormitorios,3 camas,1 baño,"4,70",125,60€,aragon,https://www.airbnb.es/rooms/37419457?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085873_Nde8IFuJeNHQeeF5&previous_page_section_name=1000&federated_search_id=a37df857-e886-40ea-af94-2a6b7a0ca5ad
297,Apartamento Martil Tetouan,piso,5 viajeros,2 dormitorios,1 cama,1 baño,,,,ceuta,https://www.airbnb.es/rooms/935653194709947016?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086520_yV00Hl4K07KP7Jlq&previous_page_section_name=1000&federated_search_id=24264967-4eb2-45b7-bfb3-1fa9b640c30d
298,Apartamentos a 500 mt de la playa,piso,3 viajeros,1 dormitorio,2 camas,1 baño,"4,93",71,90€,asturias,https://www.airbnb.es/rooms/919006?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085481_RaXO2kgJmN9wsgga&previous_page_section_name=1000&federated_search_id=14495e05-c171-4855-aeb5-0062a3c341ea
299,Una casa con vistas,casa rural,5 viajeros,2 dormitorios,3 camas,2 baños,"4,86",7,112€,castilla_la_mancha,https://www.airbnb.es/rooms/723076992960917739?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086252_gqjXlGPOufi9yLBw&previous_page_section_name=1000&federated_search_id=10b3325f-93e8-4cac-a023-c47a93311067
300,Inspiradora habitación,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/900710519704084634?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086169_EF2FFh8lJGMIYFC3&previous_page_section_name=1000&federated_search_id=0473af94-4fbe-46a2-813f-395a7f33739f
301,Sakia el hamra,piso,4 viajeros,1 dormitorio,1 cama,1 baño,,,,melilla,https://www.airbnb.es/rooms/932457087191931781?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086610_a4ffveOIYReLE3r%2B&previous_page_section_name=1000&federated_search_id=f203a7e0-22ac-46c2-b22c-d6e2b359cc7c
302,Habitación en Cartagena,,,,,,,,,murcia,https://www.airbnb.es/rooms/944148394712374604?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086315_ZpZi2W054Uoc3XUf&previous_page_section_name=1000&federated_search_id=d8c7ef25-0126-4509-83f7-2475e06a1d11
303,Precioso apartamento en el centro de Murcia,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,84",130,65€,murcia,https://www.airbnb.es/rooms/53606209?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086257_JFCW3BdPBmXb9ZdS&previous_page_section_name=1000&federated_search_id=7a961ff4-aa72-4033-b352-08eddcb03fa9
