,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
1235,XX D Apartamentos Morales & Arnal,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,96",46,,andalucia,https://www.airbnb.es/rooms/721822374553846552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086413_OrwtEscmRX13eTJq&previous_page_section_name=1000&federated_search_id=87af01fd-537e-4d7c-874e-5c065cc5d659
1236,El Nido del Águila,casa de invitados,3 viajeros,1 dormitorio,2 camas,1 baño,"4,69",156,95€,cataluña,https://www.airbnb.es/rooms/15723172?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-30&source_impression_id=p3_1691085924_W4zRgaVyzXojRBOP&previous_page_section_name=1000&federated_search_id=c03c9b9c-a2ce-4fb0-9e27-34ce978f22e4
1237,Habitación individual privada con baño y jardín,,,,,,,,,andalucia,https://www.airbnb.es/rooms/756543223537854490?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086413_q2Fix4SBmRH%2F8K8O&previous_page_section_name=1000&federated_search_id=87af01fd-537e-4d7c-874e-5c065cc5d659
1238,Suite Sol Playa con vistas a la playa,Coroa Gestion,2 viajeros,1 dormitorio,1 cama,1 baño,"4,39",49,92€,valencia,https://www.airbnb.es/rooms/46785859?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-05&check_out=2023-11-10&source_impression_id=p3_1691085345_tXUjbm8AWVtiGltk&previous_page_section_name=1000&federated_search_id=4978ccc7-89ce-4d2a-ac7a-29ac90e91dbc
1239,Conoce Valencia! 2 huéspedes,,,,,,,,,valencia,https://www.airbnb.es/rooms/919654989272743478?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691085331_nVrIcyIUxO08trqy&previous_page_section_name=1000&federated_search_id=05999c57-9271-4470-93a2-73fb744097e7
1240,"A. T. Arquímedes 2-1, en el centro de Melilla",piso,3 viajeros,2 dormitorios,3 camas,1 baño,"4,75",12,75€,melilla,https://www.airbnb.es/rooms/33671384?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-07&source_impression_id=p3_1691086606_l7cRigDOYO5zU40Y&previous_page_section_name=1000&federated_search_id=e9d281e6-3f1c-4ca2-b24e-be771f1b5143
1241,Estudio en Segura de la Sierra,loft,2 viajeros,Estudio,1 cama,1 baño,"4,96",48,,andalucia,https://www.airbnb.es/rooms/1710542?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086452_ZQ81AmWVm2%2Ftvyts&previous_page_section_name=1000&federated_search_id=eaa6ebec-6e46-48f9-a710-64cfd7c0edd0
1242,Agradable y acogedor alojamiento,piso,4 viajeros,2 dormitorios,3 camas,1 baño,"4,53",43,31€,madrid,https://www.airbnb.es/rooms/801496374726296906?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086077_X%2BvKPQ2al9OXeCO5&previous_page_section_name=1000&federated_search_id=bc0595a8-b236-4d91-851e-6f8b0e410d75
1243,Cabaña de piedra (Taller de pintura),cabaña,4 viajeros,1 dormitorio,1 cama,1 baño,"4,86",191,80€,castilla_y_leon,https://www.airbnb.es/rooms/9708432?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-18&source_impression_id=p3_1691086001_e7LWBmwnhNa1gqzC&previous_page_section_name=1000&federated_search_id=2a157d41-5cbb-457b-9700-4b2e084134d3
1244,"Gran Terraza, Piscina, Wifi y Parking",piso,4 viajeros,1 dormitorio,3 camas,1 baño,"5,0",9,50€,comunidad_valenciana,https://www.airbnb.es/rooms/855238751049225904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691086161_ZMW%2Fg%2B%2FPKLBTEZn8&previous_page_section_name=1000&federated_search_id=394e1388-1978-460e-be66-1d6935e2084a
1245,Estudio en Murcia Centro a 10 min de la Catedral 2,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,82",11,49€,murcia,https://www.airbnb.es/rooms/667016097527125759?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691086303_f858ilgMP%2Fq5Hyw0&previous_page_section_name=1000&federated_search_id=5fa4b39f-2c59-4f96-bb64-6da22f242341
1246,Casa Luisa (1 cama doble),,,,,,,,,asturias,https://www.airbnb.es/rooms/51363516?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1691085481_uhX49A%2BY6zOCyGHb&previous_page_section_name=1000&federated_search_id=14495e05-c171-4855-aeb5-0062a3c341ea
1247,Cabaña romántica del lago de Paredes,cabaña,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,50",68,100€,castilla_y_leon,https://www.airbnb.es/rooms/635023147431120696?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-11&check_out=2023-10-17&source_impression_id=p3_1691085985_SsinsiIqB6JxY0Ua&previous_page_section_name=1000&federated_search_id=b50051a8-7f1a-4116-b1ff-f525b30baff0
1248,"Linda habitación en Benetusser, valencia",,,,,,,,,valencia,https://www.airbnb.es/rooms/764295900557972364?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085388_weSeE9UZrzllldTZ&previous_page_section_name=1000&federated_search_id=bf6949a6-d345-4a53-aa5a-8950b0cca889
1249,,,,,,,,,,ceuta,https://www.airbnb.es/rooms/892073424365550936?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-10&source_impression_id=p3_1691086513_GcRvgfzt5kvxawaq&previous_page_section_name=1000&federated_search_id=9b824765-0581-4726-9ab7-b8e0de7e3d03
1250,Casa La Rioja,vivienda,8 viajeros,5 dormitorios,5 camas,"2,5 baños",1,evaluación,63€,la_rioja,https://www.airbnb.es/rooms/924484407732585565?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-05&source_impression_id=p3_1691085818_AFz%2BuI%2FIES413iqW&previous_page_section_name=1000&federated_search_id=922e5e28-4e5e-4666-9196-22f229771e43
1251,Habitación Doble en piso compartido,Fernanda Elizabeth,2 viajeros,1 dormitorio,1 cama,"1,5 baños",,,,comunidad_valenciana,https://www.airbnb.es/rooms/948494413511335769?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086148_9PFSmc5%2BkNldn5Fn&previous_page_section_name=1000&federated_search_id=4c0865b2-4c53-4972-855b-c03ebb5e23fd
1252,El Chulavista Dome,Anna,2 viajeros,1 dormitorio,2 camas,"1,5 baños","4,91",130,218€,cantabria,https://www.airbnb.es/rooms/43714523?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-08&check_out=2023-10-13&source_impression_id=p3_1691085567_DVJquJXChkA5xgzP&previous_page_section_name=1000&federated_search_id=2389c15b-9aec-4d72-8904-d53357b810db
1253,Casa de campo rústica y acogedora,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,76",392,53€,baleares,https://www.airbnb.es/rooms/1244764?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-17&check_out=2023-10-22&source_impression_id=p3_1691086626_K5JU6wW4FWrx3jt%2F&previous_page_section_name=1000&federated_search_id=25d6f8ef-1426-4009-a1a6-b007ee094b9b
1254,A MEDIO PASO DE TODAS LAS CALAS DE MALLORCA,,,,,,,,,baleares,https://www.airbnb.es/rooms/50419359?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691086669_0YYfUSHnwwzpbLSa&previous_page_section_name=1000&federated_search_id=4f07e5b3-3748-41fe-8903-b1347c2703d8
1255,Casa en el Delta del Ebro,casa rural,5 viajeros,3 dormitorios,3 camas,1 baño,"4,56",141,75€,cataluña,https://www.airbnb.es/rooms/12981668?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-09-30&source_impression_id=p3_1691085941_7LIWJA4iAKyagi2S&previous_page_section_name=1000&federated_search_id=4c4ea3fe-de6e-4fb5-bbbf-abb37734e0ea
1256,Acogedor apartamento estudio junto al mar,piso,3 viajeros,Estudio,2 camas,1 baño,,,,ceuta,https://www.airbnb.es/rooms/919364836346290237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691086486_GR1JtO9sCRYkNbOK&previous_page_section_name=1000&federated_search_id=bca7212d-1016-48e6-965a-17e319563bf9
1257,"Cal Masses , San Salvador de Guardiola",vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,"5,0",5,125€,cataluña,https://www.airbnb.es/rooms/896856836379489751?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085958_Do0n8NnhY7opWkOU&previous_page_section_name=1000&federated_search_id=713be967-99ad-4dd8-9ac7-8b22b667978e
1258,Casa reformada en la Playa de Agrelo/Portomaior,vivienda,4 viajeros,3 dormitorios,3 camas,1 baño,,,,galicia,https://www.airbnb.es/rooms/8223367?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-27&source_impression_id=p3_1691085415_jLg7JPhabU7CvT54&previous_page_section_name=1000&federated_search_id=e6105bea-ebe9-43bc-9808-8d335f0b0f11
1259,Habitación privada bosque,,,,,,,,,cataluña,https://www.airbnb.es/rooms/45731506?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085920_F44L6xNJEXYsGAkr&previous_page_section_name=1000&federated_search_id=e00e7f7d-9e26-460f-8f35-419ad1c98ee5
1260,Habitación con salón y terraza de uso privado,Dakota,2 viajeros,1 dormitorio,1 cama,1 baño compartido,,,,madrid,https://www.airbnb.es/rooms/948391662354379444?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086107_QyzW%2BpJ%2FHMVEeswn&previous_page_section_name=1000&federated_search_id=493f7c51-32e1-4dc5-aecc-2cb8458a0b47
1261,Casa de campo con gran jardín.,,,,,,,,,asturias,https://www.airbnb.es/rooms/51273216?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691085518_j2E0AgC1ES5rC39x&previous_page_section_name=1000&federated_search_id=ce6bf819-7ded-4a23-bae0-f778ba28ce81
