,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,comunidad,url,valoracion,n_evaluaciones,precio
117,La Tasca • Casina Rural con Encanto Rústico para 2,casa rural,2 viajeros,1 dormitorio,1 cama,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/19431488?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1691085993_H4lvq242FBBMc0Db&previous_page_section_name=1000&federated_search_id=88f4465e-8c9b-48ed-8cc8-ac9cd1e6df16,"4,92",140,57€
118,Estupenda habitacion de dos camas,,,,,,castilla_la_mancha,https://www.airbnb.es/rooms/566590126955853586?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086228_mSg710LNUdi%2Bd1%2Fl&previous_page_section_name=1000&federated_search_id=0c549cdd-86e4-4555-beaf-36e438b3cc66,,,
119,APARTAMENTOS ENTRESILLARES,piso,4 viajeros,2 dormitorios,3 camas,1 baño,la_rioja,https://www.airbnb.es/rooms/11370426?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085795_0zumulVNkJIhkIJ9&previous_page_section_name=1000&federated_search_id=00622a2c-a204-437a-b9a8-6dfbe9a4e0f5,"4,84",33,110€
120,Casita en el Delta del Ebro,casa rural,4 viajeros,2 dormitorios,2 camas,1 baño,aragon,https://www.airbnb.es/rooms/12980779?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1691085841_fZaO3wzW%2FBk3Rkga&previous_page_section_name=1000&federated_search_id=dc59a088-b92f-42a2-81d1-e495c3514a30,"4,66",193,60€
121,Tienda Emperador Junior,Kampaoh,4 viajeros,1 dormitorio,2 camas,1 baño compartido,galicia,https://www.airbnb.es/rooms/879565965838140409?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085419_%2BvLieSMjZMZB2Fnx&previous_page_section_name=1000&federated_search_id=35f1baf4-7172-46fc-8a8c-cec85d19a936,,,
122,Habitación de alquiler Valencia,,,,,,valencia,https://www.airbnb.es/rooms/691905168684862464?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691085363_ISggQZ5qdTizzYB%2B&previous_page_section_name=1000&federated_search_id=23586241-f757-4ba0-a83d-4808f5ac05c2,,,
123,habitación para descansar!,,,,,,pais_vasco,https://www.airbnb.es/rooms/871516408876791556?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-11&source_impression_id=p3_1691085660_uXYHLooppi%2FsqJPn&previous_page_section_name=1000&federated_search_id=bcf83050-693f-41f6-a69e-8086eeb4ced7,,,
124,Alquilo habitación familiar.,,,,,,valencia,https://www.airbnb.es/rooms/947951891079597746?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-14&source_impression_id=p3_1691085337_2eQw%2Fzo91a%2F8Sdxt&previous_page_section_name=1000&federated_search_id=1b8a754b-9a72-48f7-a3cb-a98ba067e1f0,,,
125,Hab 3 personas baño completo,,,,,,pais_vasco,https://www.airbnb.es/rooms/925802614939958468?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691085636_rGmHf0jAHiW8zvPC&previous_page_section_name=1000&federated_search_id=6fd22c8a-ac9b-46b5-9d62-a1ace86e9352,,,
126,Amplia casa con jardín en Madrid centro,vivienda,2 viajeros,1 dormitorio,2 camas,1 baño,madrid,https://www.airbnb.es/rooms/946436126994190250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086098_cWPyxtyyD25B4YXV&previous_page_section_name=1000&federated_search_id=04805f57-90e4-4064-bda5-a48e8154eccd,,,
127,Mushara Apartamento Turístico,vivienda vacacional,5 viajeros,2 dormitorios,3 camas,1 baño,extremadura,https://www.airbnb.es/rooms/704302376794494625?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691086394_A0fCV29e5hycZJZZ&previous_page_section_name=1000&federated_search_id=3b698b64-ef89-4948-a5e9-328b47769f00,"5,0",12,
128,Bonita y amplia habitación Alcobendas,,,,,,madrid,https://www.airbnb.es/rooms/913013227653463164?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086086_aUN95SRImUNUeu6m&previous_page_section_name=1000&federated_search_id=a3c636cc-6311-40c1-a630-89e9316f65dc,,,
129,El refugio aprt. Parque Natural montaña Montserrat,vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,cataluña,https://www.airbnb.es/rooms/47434772?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-30&source_impression_id=p3_1691085958_IRkN0KouYL4nIf%2BQ&previous_page_section_name=1000&federated_search_id=713be967-99ad-4dd8-9ac7-8b22b667978e,"4,90",249,87€
130,Cerca de Bilbao y Playas.,apto,4 viajeros,2 dormitorios,4 camas,1 baño,pais_vasco,https://www.airbnb.es/rooms/926683086208161649?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691085656_TmrdQaWq7xL8SAyw&previous_page_section_name=1000&federated_search_id=ebd8fb6f-1272-4b76-a753-0789fcf83d2b,"5,0",4,85€
131,"""a casiña de Luintra""",vivienda,4 viajeros,1 dormitorio,1 cama,1 baño,galicia,https://www.airbnb.es/rooms/927472207326399218?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-09&source_impression_id=p3_1691085455_93eiolUIDnuUeLNa&previous_page_section_name=1000&federated_search_id=2a3fbbba-790f-41bf-b073-6e97dbf161e1,"5,0",3,45€
132,HABITACION CON BAÑO PRIVADO A,,,,,,asturias,https://www.airbnb.es/rooms/51144697?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085510_igapYthm%2Fyv2Z49r&previous_page_section_name=1000&federated_search_id=3cead556-ff23-4525-9b22-195f22aa1c65,,,
133,Casa Rural Griso,casa rural,4 viajeros,3 dormitorios,3 camas,1 baño,aragon,https://www.airbnb.es/rooms/38262086?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691085869_TnIoJ2E0GyNFP5FA&previous_page_section_name=1000&federated_search_id=0a9749c8-b701-416e-90b0-c7d926d21d43,,,
134,"Suite con entrada independiente, piscina y a/a",casa de invitados,3 viajeros,1 dormitorio,2 camas,1 baño,castilla_la_mancha,https://www.airbnb.es/rooms/857238973038727919?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1691086208_OZZiioM0%2Fz6Yh3%2BI&previous_page_section_name=1000&federated_search_id=f359ae9c-bc30-4004-a527-1e94972f228c,"4,97",32,85€
135,Viendo amanecer...,Maria,2 viajeros,3 dormitorios,3 camas,"3,5 baños",comunidad_valenciana,https://www.airbnb.es/rooms/30725762?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086131_wQlF8h9oYLK6Ii7D&previous_page_section_name=1000&federated_search_id=3d93f66a-5e74-4fef-af14-e061d1048c2f,"4,79",133,70€
136,con vistas al cielo,,,,,,castilla_y_leon,https://www.airbnb.es/rooms/51294211?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086009_CxOCni0A8N7jEdod&previous_page_section_name=1000&federated_search_id=b4630cea-274f-4c9d-af80-3661f9173b18,,,
137,Apartamento Murcia San José C,piso,4 viajeros,1 dormitorio,2 camas,1 baño,murcia,https://www.airbnb.es/rooms/856250501712713240?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-21&source_impression_id=p3_1691086307_8Xdbg7C4gkCrdtYU&previous_page_section_name=1000&federated_search_id=e746460b-dc2b-4d18-889b-2ca3ee297bd8,"5,0",6,60€
138,Apartamento Corniche Nador,piso,6 viajeros,3 dormitorios,3 camas,"1,5 baños",melilla,https://www.airbnb.es/rooms/932021063232521050?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691086586_UsIjX%2FIa72GyA58a&previous_page_section_name=1000&federated_search_id=81d57981-81df-47a0-ad11-a2216f930ad7,2,evaluaciones,70€
139,Casita tranquila y luminosa en la costa vizcaina,suite con entrada independiente,4 viajeros,2 dormitorios,3 camas,1 baño,pais_vasco,https://www.airbnb.es/rooms/42577105?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1691085664_TntVYhiIrsXZdXWr&previous_page_section_name=1000&federated_search_id=0a63ffd2-16b3-46cf-b868-dc6e68a894be,"4,90",69,110€
140,Studio Reina Sofía Downtown,piso,4 viajeros,Estudio,2 camas,1 baño,madrid,https://www.airbnb.es/rooms/912552001474647120?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691086086_hI5oGyw0hKbDmxOL&previous_page_section_name=1000&federated_search_id=a3c636cc-6311-40c1-a630-89e9316f65dc,2,evaluaciones,35€
141,Apartamento 1-B-A,piso,2 viajeros,1 dormitorio,1 cama,1 baño,cantabria,https://www.airbnb.es/rooms/51029978?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1691085588_DO%2F2l2luVNWilnhy&previous_page_section_name=1000&federated_search_id=6bdde363-927f-41b0-8b02-718ea1927f4a,"4,57",42,78€
142,Espacio privado y acogedor para 2/3 amigos: la habitación de Lara,,,,,,baleares,https://www.airbnb.es/rooms/12899388?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691086657_13zLh3OY1ENAwBf%2F&previous_page_section_name=1000&federated_search_id=362d8107-5669-4b3c-8eef-2b895679266d,,,
143,"Río, San Sebastián, naturaleza",apto,4 viajeros,1 dormitorio,2 camas,1 baño,navarra,https://www.airbnb.es/rooms/33131302?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-25&source_impression_id=p3_1691085735_8zXK%2FT%2FvAfqz5qnO&previous_page_section_name=1000&federated_search_id=4aa57621-a0f6-4e2a-a42d-7cb540e7e756,,,
144,Habitación burbuja,Jessica,2 viajeros,1 dormitorio,1 cama,1 baño,cataluña,https://www.airbnb.es/rooms/870358038427856358?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085893_OeyBnA%2FVQPEYOJq0&previous_page_section_name=1000&federated_search_id=5ac28c9a-32b9-4268-82aa-363072527ba9,"4,83",12,70€
145,"Doble con Parking, Wifi & Coffee Free ! La Toscana",,,,,,murcia,https://www.airbnb.es/rooms/11446957?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1691086319_h3S8zSu6m%2BWugm3U&previous_page_section_name=1000&federated_search_id=34fc98ec-6c22-46ed-86e3-b6315020057a,,,
146,Precioso y acogedor alojamiento en el Alto Sil,vivienda vacacional,4 viajeros,1 dormitorio,3 camas,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/596153033296011528?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691086033_p4%2FtmATt769P5%2FV8&previous_page_section_name=1000&federated_search_id=4922aeb6-8bb7-42c2-9e14-844bd77df82a,"4,89",35,54€
147,Apartamento junto al río Ebro,piso,4 viajeros,2 dormitorios,2 camas,1 baño,aragon,https://www.airbnb.es/rooms/948759417446987726?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085841_bBHq3Y3%2FPa3T0HAT&previous_page_section_name=1000&federated_search_id=dc59a088-b92f-42a2-81d1-e495c3514a30,,,
148,Departamento completamente nuevo,piso,4 viajeros,2 dormitorios,2 camas,1 baño,melilla,https://www.airbnb.es/rooms/899805845428387923?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086578_TDGFelDHq7F3Er5E&previous_page_section_name=1000&federated_search_id=1b80f752-7b37-41c7-bb92-f77123ee1753,,,
149,Cabaña ideal en Centro de Meditación KMC La Sierra,KMC La Sierra,2 viajeros,1 dormitorio,1 cama,1 baño privado,castilla_la_mancha,https://www.airbnb.es/rooms/663813820738963870?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086232_7r7cnju6LowJ5udq&previous_page_section_name=1000&federated_search_id=7fa2e520-da38-4611-ac23-a14ddf2a38b4,"4,76",25,71€
150,Pamplona Ciudad Maravilla,,,,,,navarra,https://www.airbnb.es/rooms/711587438326935085?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085707_ZdTF97FG49I%2BE7gh&previous_page_section_name=1000&federated_search_id=135e53ea-3e99-47ea-87c0-062c82121ded,,,
151,Alojamiento Pamplona,,,,,,navarra,https://www.airbnb.es/rooms/861540635080975981?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085719_tuGf0dG4HH9otn2e&previous_page_section_name=1000&federated_search_id=e5a274f3-e5da-4a93-97c4-a5fe81bb9770,,,
152,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/948960494610974910?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086177_JldLSyIsiYWWLYCN&previous_page_section_name=1000&federated_search_id=ea84f72c-2f2d-4c13-8604-d8d1dad0bb25,,,
153,Habitación individual,,,,,,valencia,https://www.airbnb.es/rooms/24862049?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-29&source_impression_id=p3_1691085384_nHJYstZqCy%2BW31Y5&previous_page_section_name=1000&federated_search_id=c52bb24a-a96d-4852-912a-1f405a7c4e59,,,
154,Habitación privada confortables cerca a Aeropuerto,,,,,,madrid,https://www.airbnb.es/rooms/547121341321742307?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691086073_WEDLmr2D%2Bs%2FdktL3&previous_page_section_name=1000&federated_search_id=d5aaba37-321c-4928-b31b-0640a972322a,,,
155,apartamento con un dormitorio y vistas preciosas,apto,2 viajeros,1 dormitorio,1 cama,1 baño,baleares,https://www.airbnb.es/rooms/51313569?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-06&check_out=2023-11-11&source_impression_id=p3_1691086665_nPGUTm2bYNtbH2OX&previous_page_section_name=1000&federated_search_id=46231895-ddc5-409d-ac67-51cc9d473d85,"4,94",33,70€
156,Apartamento en el Carmen 12345,piso,2 viajeros,1 dormitorio,1 cama,1 baño,valencia,https://www.airbnb.es/rooms/928192329578979185?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691085388_Ja5Qj7lWIdwR5Ocg&previous_page_section_name=1000&federated_search_id=bf6949a6-d345-4a53-aa5a-8950b0cca889,1,evaluación,68€
157,Cabaña 8 de valle de Batuecas,cabaña,2 viajeros,Estudio,2 camas,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/15387286?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691086001_%2FaHJ6QXXSj2NQa73&previous_page_section_name=1000&federated_search_id=2a157d41-5cbb-457b-9700-4b2e084134d3,"4,81",54,
158,Bodega autosostenible en la Ribeira Sacra,Andres,4 viajeros,1 dormitorio,2 camas,1 baño,galicia,https://www.airbnb.es/rooms/948536918429841272?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691085415_aRmSYIHTQ%2BTlECmu&previous_page_section_name=1000&federated_search_id=e6105bea-ebe9-43bc-9808-8d335f0b0f11,,,
159,Refugio anti-calor en La Virgen de la Vega,piso,5 viajeros,3 dormitorios,4 camas,"1,5 baños",aragon,https://www.airbnb.es/rooms/13934064?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085861_%2BZMJ%2FjzvhGpTZ2W7&previous_page_section_name=1000&federated_search_id=50aa6b5f-0da8-4a55-8cd5-666dd138e930,"4,98",40,
160,Habitación de matrimonio con baño privado,,,,,,cataluña,https://www.airbnb.es/rooms/884018914627383078?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085946_GqVzIYU5vJWvvo1N&previous_page_section_name=1000&federated_search_id=d00cc8a9-0959-40b9-ad33-d52d372bd770,,,
161,El Mirador de Bacha,loft,2 viajeros,1 dormitorio,1 cama,1 baño,castilla_la_mancha,https://www.airbnb.es/rooms/36068147?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-12&source_impression_id=p3_1691086217_fk8cZGLZlLrYfzHp&previous_page_section_name=1000&federated_search_id=260d87fd-2bb8-4790-ab75-cb4042e7eb45,"4,70",37,90€
162,La Suite de Cudón,piso,4 viajeros,1 dormitorio,2 camas,1 baño,cantabria,https://www.airbnb.es/rooms/640665411757148932?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085597_V7wcKIJOIoZsj%2F2z&previous_page_section_name=1000&federated_search_id=38df2e61-481e-4b91-98de-a36ed2f715ac,"4,86",7,120€
163,Habitación luminosa.,,,,,,asturias,https://www.airbnb.es/rooms/896062797015304420?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691085506_QNLDi64L8vQTV9Lq&previous_page_section_name=1000&federated_search_id=b56e7b3f-373e-47c7-ad92-7fd3737f21b0,,,
164,Apartamento frente al mar con vistas en SeaClub Voramar,3Villas,2 viajeros,1 dormitorio,1 cama,1 baño,baleares,https://www.airbnb.es/rooms/594607412765942277?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086626_eLu81wJfnjB%2B9beV&previous_page_section_name=1000&federated_search_id=25d6f8ef-1426-4009-a1a6-b007ee094b9b,"4,66",128,281€
165,Habitación luminosa con piscina,,,,,,castilla_la_mancha,https://www.airbnb.es/rooms/912289351998005602?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086224_ZJk0Lxj2W8SF3c5m&previous_page_section_name=1000&federated_search_id=7e19b138-1770-4192-9bdb-763ac3554d74,,,
166,Tranquilo,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/941217656428783782?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086112_JtbIO6sqmYpGKHZW&previous_page_section_name=1000&federated_search_id=aa0bda1a-f027-4b61-b49a-766dd9d1ad32,,,
167,Apartamento en ciudad de las artes y las ciencias,piso,4 viajeros,2 dormitorios,3 camas,2 baños,valencia,https://www.airbnb.es/rooms/929049467433208930?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-25&check_out=2023-10-30&source_impression_id=p3_1691085354_LYQ49fW4f9%2B%2Fris6&previous_page_section_name=1000&federated_search_id=dd8ce12e-78e0-4d89-875e-71889835fd73,"5,0",14,
168,Saron alojamiento completo,piso,4 viajeros,2 dormitorios,2 camas,1 baño,cantabria,https://www.airbnb.es/rooms/947879829009776635?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085549_kJBVbKXcpYpEaPg0&previous_page_section_name=1000&federated_search_id=6b3ce089-ee17-43bc-b1b0-13e06f17bd5f,,,
169,El Ático Blanco,piso,4 viajeros,2 dormitorios,2 camas,2 baños,andalucia,https://www.airbnb.es/rooms/943408364324880491?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086456_%2F5UFPJ8jnAQZahtL&previous_page_section_name=1000&federated_search_id=4682e3d6-9cec-422e-9724-ac12b125e123,,,
170,Estilosa CASA GOLF habitación en Pamplona,,,,,,navarra,https://www.airbnb.es/rooms/25966042?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691085695_ownM%2F2%2BSFND%2FZaLp&previous_page_section_name=1000&federated_search_id=a6a27ac9-d07a-4dba-b14f-3439ecc0647b,,,
171,Casa nueva con vistas al mar y piscina,vivienda,7 viajeros,3 dormitorios,4 camas,"2,5 baños",galicia,https://www.airbnb.es/rooms/686086504374406058?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-04&source_impression_id=p3_1691085431_dGM%2BowwvMIMkbkBt&previous_page_section_name=1000&federated_search_id=e9600b70-d00b-4c0a-be3e-31f2ccd10f32,"5,0",17,333€
172,Apto en primera línea de playa,piso,2 viajeros,1 dormitorio,2 camas,1 baño,andalucia,https://www.airbnb.es/rooms/912696734421580392?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-29&check_out=2023-11-04&source_impression_id=p3_1691086413_6K5Pa01JL%2Ffsl2At&previous_page_section_name=1000&federated_search_id=87af01fd-537e-4d7c-874e-5c065cc5d659,"4,94",18,59€
173,2 hab.+2 baños+cocina en S.Sebastian de Garabandal,piso,3 viajeros,2 dormitorios,3 camas,"1,5 baños",cantabria,https://www.airbnb.es/rooms/33247475?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085605_A0dt8nmmubYbXNug&previous_page_section_name=1000&federated_search_id=165772be-497f-4967-b576-093d06c97458,"4,96",68,70€
174,"Habitación en el apartamento de Niza. Muy cerca de UCAM, UM U.Murcia",apto,4 viajeros,3 dormitorios,3 camas,1 baño,murcia,https://www.airbnb.es/rooms/42124521?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086286_rkWI7JqpeFCHnrgg&previous_page_section_name=1000&federated_search_id=356d1efd-13b9-489c-96a9-033d9af97124,1,evaluación,36€
175,El almacen de Lola,vivienda,4 viajeros,1 dormitorio,1 cama,1 baño,galicia,https://www.airbnb.es/rooms/51666091?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085423_8MJIV5dGUksz1GoP&previous_page_section_name=1000&federated_search_id=1ff38b49-fee4-4bbe-9f77-4d42073c5db1,"4,90",51,260€
176,Magnífico apartamento,piso,5 viajeros,2 dormitorios,3 camas,1 baño,melilla,https://www.airbnb.es/rooms/937863946064999076?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691086598_nCTS4uuckkgxJv0N&previous_page_section_name=1000&federated_search_id=cd78fc61-8e93-4c36-8a9c-27787f9dbac0,,,
177,Entrañable Casa Rural en Montánchez,casa rural,4 viajeros,2 dormitorios,4 camas,3 baños,extremadura,https://www.airbnb.es/rooms/720355274027750110?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086394_EdKdmZtw1J77OJHC&previous_page_section_name=1000&federated_search_id=3b698b64-ef89-4948-a5e9-328b47769f00,"4,67",3,130€
178,Casa Souto Grande de Esteiro,vivienda,6 viajeros,3 dormitorios,4 camas,2 baños,galicia,https://www.airbnb.es/rooms/937619714432526673?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691085431_S1lsuNE3%2FFN4HLzY&previous_page_section_name=1000&federated_search_id=e9600b70-d00b-4c0a-be3e-31f2ccd10f32,1,evaluación,100€
179,Apartamentos Corona,Ana,4 viajeros,1 dormitorio,3 camas,1 baño privado,cantabria,https://www.airbnb.es/rooms/1265758?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085554_ihPa2UMDjcysQM6l&previous_page_section_name=1000&federated_search_id=21d6a24f-0599-4dfb-9146-839f3932c377,"4,94",121,120€
180,ALL IRON HOSTEL: CAMA HABITACIÓN COMPARTIDA MIXTA,,,,,,pais_vasco,https://www.airbnb.es/rooms/24934396?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-03&source_impression_id=p3_1691085660_JGZ3vB%2FGy2s%2BpgQA&previous_page_section_name=1000&federated_search_id=bcf83050-693f-41f6-a69e-8086eeb4ced7,,,
181,ESPLENDIDA VIVIENDA A POCOS PASOS DEL PUERTO...,vivienda,3 viajeros,2 dormitorios,4 camas,1 baño,valencia,https://www.airbnb.es/rooms/37243879?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-16&check_out=2023-09-21&source_impression_id=p3_1691085371_HMFlWVVgP8vlZz3L&previous_page_section_name=1000&federated_search_id=17ecb331-8746-4398-a500-40136d3f3c40,"4,59",71,59€
182,Apartamento con conexión a internet,piso,5 viajeros,1 dormitorio,5 camas,1 baño,melilla,https://www.airbnb.es/rooms/33288590?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691086594_1XYQdB2QIQTI6XP6&previous_page_section_name=1000&federated_search_id=4e0efee2-1273-4cfe-8cda-85e9db70d91f,"4,74",39,40€
