,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,comunidad,url,valoracion,n_evaluaciones,precio
14,Habitación Dalia,,,,,,madrid,https://www.airbnb.es/rooms/904823486276787394?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691086064_EVhs0WoFXU7XtKX5&previous_page_section_name=1000&federated_search_id=b07146a4-1094-40b2-90f9-23ca39300c30,,,
15,Habitación con baño en El Burgo,,,,,,galicia,https://www.airbnb.es/rooms/770756634840085926?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691085439_BdUXBsSpvj8vImtt&previous_page_section_name=1000&federated_search_id=341d5032-57e7-4880-aa07-61633be520b1,,,
16,"Habitación privada, cerca de medios trasporte.",,,,,,madrid,https://www.airbnb.es/rooms/724607247409923948?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-09&source_impression_id=p3_1691086073_yI%2F75KeJlZ2X0aI9&previous_page_section_name=1000&federated_search_id=d5aaba37-321c-4928-b31b-0640a972322a,,,
17,El Palmeral,,,,,,murcia,https://www.airbnb.es/rooms/940682769183063699?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-05&source_impression_id=p3_1691086275_3Oi6RcT6kXsn988p&previous_page_section_name=1000&federated_search_id=6389c3ed-da14-4312-8b4b-9037ed76ef63,,,
18,"★Apto Dunas II★ (Wifi, piscina, fácil aparcar)",piso,2 viajeros,1 dormitorio,1 cama,1 baño,cantabria,https://www.airbnb.es/rooms/50203924?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085584_niJA4otcnZcoujqc&previous_page_section_name=1000&federated_search_id=4cf0edb4-cf4e-4162-abfd-d626d7ecff2a,"4,83",18,
19,Casablanca: Estudio Doble,piso,2 viajeros,1 dormitorio,1 cama,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/11834579?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-10&source_impression_id=p3_1691086001_2M3B4zerXQMdxYiP&previous_page_section_name=1000&federated_search_id=2a157d41-5cbb-457b-9700-4b2e084134d3,"4,80",289,52€
20,Casa Prado el Cardin con Vistas increíbles,casa rural,4 viajeros,1 dormitorio,1 cama,2 baños,asturias,https://www.airbnb.es/rooms/48205237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-16&check_out=2023-10-21&source_impression_id=p3_1691085514_j56hX3ExmNaHSSpP&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567,"4,93",55,
21,Precioso apartamento en Madrid!,piso,2 viajeros,1 dormitorio,1 cama,1 baño,madrid,https://www.airbnb.es/rooms/755617971975462389?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086086_ig0nGMWB8i%2FV5EA8&previous_page_section_name=1000&federated_search_id=a3c636cc-6311-40c1-a630-89e9316f65dc,"4,20",5,
22,"escapadarural🏞B&B.desayuno,baño,jardín",,,,,,castilla_la_mancha,https://www.airbnb.es/rooms/53107193?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086248_z4mIeQAADfjyQ0EM&previous_page_section_name=1000&federated_search_id=6f2fcb2c-fcb2-48cb-ba68-910bb71aa379,,,
23,Apartamento El labrador muy acogedor ven a vernos,vivienda vacacional,4 viajeros,1 dormitorio,1 cama,1 baño,navarra,https://www.airbnb.es/rooms/745446303672709901?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085681_DhZQRoK5dLm71WJO&previous_page_section_name=1000&federated_search_id=2781065c-6f62-431b-8da2-8ab61126d391,"4,91",22,90€
