,precio,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,comunidad,url
21,45€,Apartamento Puerto Tazacorte en 1ª línea de playa,piso,3 viajeros,1 dormitorio,4 camas,1 baño,"4,75",111,islas_canarias,https://www.airbnb.es/rooms/15355688?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1691172355_f%2FImEvh4VaMFe1a6&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
22,52€,"Dinamic people, terrace, amazing beach,súper views",vivienda,4 viajeros,1 dormitorio,3 camas,1 baño,"4,88",432,islas_canarias,https://www.airbnb.es/rooms/10778172?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691172355_QnfKIU0d63C5IK48&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
23,37€,Pozo Beach,piso,2 viajeros,1 dormitorio,1 cama,1 baño,,,islas_canarias,https://www.airbnb.es/rooms/879724640500596469?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691172379_75IsKhMa1cpOtdv5&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
24,35€,Romántico apartamento,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"5,0",6,islas_canarias,https://www.airbnb.es/rooms/865606607781574248?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691172362_%2FD5YWg90QWOKvyl6&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
25,80€,CASA EN RESERVA NATURAL,vivienda,5 viajeros,1 dormitorio,1 cama,1 baño,"4,87",217,islas_canarias,https://www.airbnb.es/rooms/701688?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691172394_HDuvA2ZbpWgoxmpf&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
26,28€,Retiro para caminantes en Cruz De Tea.,suite con entrada independiente,4 viajeros,1 dormitorio,2 camas,1 baño,"4,78",423,islas_canarias,https://www.airbnb.es/rooms/17527228?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691172355_NfrjJSKf6PQo%2FshO&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
27,52€,Conecta con el corazón en este mágico lugar,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/30931885?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691172351_r0RciyjariIfCBD%2F&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
28,38€,Apartamento reformado en casa canaria.,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,87",141,islas_canarias,https://www.airbnb.es/rooms/50113768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691172379_wqi%2BKKSJmcJ58QX3&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
29,15€,Mi Sueño II,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/29582480?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691172382_qT5YCjTkSsMvv3ai&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
30,48€,"Home2Book Casa Los Chispos Corralejo, Terrace&Pool",apto,2 viajeros,1 dormitorio,2 camas,1 baño,,,islas_canarias,https://www.airbnb.es/rooms/947652517264782065?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691172345_r99qFpAkiG30bTOK&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
31,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/22682018?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-20&source_impression_id=p3_1691172390_NVRVDXOCGtKkrBA5&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
32,48€,Cómodo apartamento en La Playa-Apto Lola Nº103-Apartamentos Lola .,piso,2 viajeros,1 dormitorio,2 camas,1 baño,"4,54",78,islas_canarias,https://www.airbnb.es/rooms/45198442?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172402_1G%2B%2FCqXdtp4XwyA3&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
33,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/41613697?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691172355_R3Clm7xeYyclawgu&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
34,45€,Vistas para el Relax,vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,"4,94",81,islas_canarias,https://www.airbnb.es/rooms/11100199?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691172394_PjhUesE9C6Mbbx5D&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
35,28€,Una cabaña ecológica en la isla de El Hierro.,casa de invitados,2 viajeros,Estudio,1 cama,"1,5 baños","4,79",14,islas_canarias,https://www.airbnb.es/rooms/702912306739225888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691172382_AtgTELPQRFCSL6ok&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
36,25€,"Habitación en playa blanca, cerca de papagayo",,,,,,,,islas_canarias,https://www.airbnb.es/rooms/46915147?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172358_MvmPjaHQJHQslKPp&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
37,49€,Apartamento en La Garita,piso,5 viajeros,2 dormitorios,3 camas,1 baño,"4,26",62,islas_canarias,https://www.airbnb.es/rooms/29078768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691172390_UH3rRFeOVMDZv%2FQL&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
38,31€,"Habitación con baño privado, cerca del aeropuerto",,,,,,,,islas_canarias,https://www.airbnb.es/rooms/770095688717509583?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-16&check_out=2023-10-21&source_impression_id=p3_1691172362_8kFFUt%2F5r88TYBwJ&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
39,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/588954089383378919?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691172351_EO1S3zjTEbzHhBgt&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
40,69€,Casa Julio en Santa Lucía de Tirajana,casa rural,2 viajeros,1 dormitorio,1 cama,1 baño,"4,81",31,islas_canarias,https://www.airbnb.es/rooms/728972735504476448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172358_5uV4I%2FZCIhR%2FATnS&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
41,103€,The Labyrinth®,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,98",309,islas_canarias,https://www.airbnb.es/rooms/31185923?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-15&check_out=2024-02-20&source_impression_id=p3_1691172366_k%2BEdTMpEHKVc09Ui&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
42,48€,Estudio cerca del mar,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,81",535,islas_canarias,https://www.airbnb.es/rooms/21902139?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1691172375_rA17k2itRXihtsjX&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
43,50€,Apartamento interior en la Playa de las Canteras,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,62",81,islas_canarias,https://www.airbnb.es/rooms/39016452?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1691172374_LIqPB4N50fpqp9On&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
44,27€,Cómodo y FANTÁSTICO DÚPLEX con INTERNET,piso,4 viajeros,2 dormitorios,2 camas,"1,5 baños","4,56",82,islas_canarias,https://www.airbnb.es/rooms/32564219?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-26&check_out=2023-10-31&source_impression_id=p3_1691172370_KjJbBoPfV10ChWOP&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
45,69€,"Casa con ubicacion, privacidad y 180° con vistas al mar",vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,"4,93",85,islas_canarias,https://www.airbnb.es/rooms/49624366?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1691172345_HGpKRfbpQDKxA%2FAB&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
46,50€,Apartamento céntrico en Las Palmas,piso,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,73",172,islas_canarias,https://www.airbnb.es/rooms/14419923?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1691172362_ZDprZ0z0nn6W352t&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
47,45€,La terraza del Mar,piso,3 viajeros,1 dormitorio,2 camas,1 baño,1,evaluación,islas_canarias,https://www.airbnb.es/rooms/856414008736550323?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172370_lub56eBJ%2FN2GFdxg&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
48,35€,Casa rural el El Sauzal,casa rural,3 viajeros,1 dormitorio,1 cama,1 baño,"4,69",102,islas_canarias,https://www.airbnb.es/rooms/562055872773760183?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691172370_ytfGP7UCP18tLrAL&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
49,40€,Loft mirando al Atlántico,loft,2 viajeros,1 dormitorio,1 cama,1 baño,"4,68",104,islas_canarias,https://www.airbnb.es/rooms/15244099?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-12&source_impression_id=p3_1691172374_W3MUQsUHzxk0UuHc&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
50,30€,Ohana,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,47",76,islas_canarias,https://www.airbnb.es/rooms/32250819?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691172379_aJ2r6WuK9DvOKf0t&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
51,40€,PENSIÓN PLAYA,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/34110721?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172390_%2BlsiUIa%2BcWg771oA&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
52,29€,Acogedor apartamento privado,apto,2 viajeros,1 dormitorio,2 camas,1 baño,"4,79",555,islas_canarias,https://www.airbnb.es/rooms/3420974?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691172351_VwN3R%2FQNUobeochg&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
53,40€,Carmen Apartment,piso,2 viajeros,1 dormitorio,2 camas,1 baño,"4,83",65,islas_canarias,https://www.airbnb.es/rooms/39829823?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172345_nyvgEsWMFPtBno%2FO&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
54,45€,Casa Rosario,vivienda,4 viajeros,2 dormitorios,3 camas,1 baño,"4,57",140,islas_canarias,https://www.airbnb.es/rooms/14727784?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691172382_CsNNJ6fv2fv8Dlt%2B&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
55,54€,"Cueva El Desvelo, coqueta cueva en piedra viva",Nolva Sara,2 viajeros,1 dormitorio,1 cama,1 baño,"4,89",18,islas_canarias,https://www.airbnb.es/rooms/689869771851429661?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1691172402_jPXPi5L7OagYEvVb&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
56,40€,Casa Rural Las Gemelas · Mirador del barranco,casa rural,4 viajeros,1 dormitorio,2 camas,1 baño,"4,82",116,islas_canarias,https://www.airbnb.es/rooms/23852696?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691172351_WLL2R%2BV3E%2FZ6wKql&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
57,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/944012470899596848?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691172345_i3GularLce4FNpQT&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
58,39€,MASCA PARA BACKPACKERS,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/40778711?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172358_%2BkhyCEMaVuDKcwcV&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
59,46€,«Captain ‘s Cabin» con magníficas vistas a las montañas,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/49753092?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691172390_MwmKz18eG1xExzvW&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
60,32€,Casa Callepiedra,vivienda,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,67",76,islas_canarias,https://www.airbnb.es/rooms/18511321?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-19&source_impression_id=p3_1691172402_SmBLfR1XKNq8s1Ry&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
61,203€,Hacienda el Terrero - La Baja del Terrero,vivienda,4 viajeros,1 dormitorio,2 camas,1 baño,"4,74",47,islas_canarias,https://www.airbnb.es/rooms/53856224?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691172394_8gEXSMMKyC7wkAWm&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
62,34€,Loft con Terraza 201,loft,2 viajeros,1 dormitorio,1 cama,1 baño,"4,79",107,islas_canarias,https://www.airbnb.es/rooms/39197035?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691172390_zMEzMN53LxnNISmj&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
63,30€,Habitación Los cancajos,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/923207667126516936?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691172355_3ztJwNtkuSo6ZA%2B2&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
64,73€,"Masca, maravillosa experiencia natural",Joel,3 viajeros,1 dormitorio,3 camas,1 baño privado,"4,78",146,islas_canarias,https://www.airbnb.es/rooms/30678746?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172370_X0KOVZ3wuyfAABNh&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
65,25€,"Vista al mar, atardecer y estrellas",piso,1 viajero,Estudio,1 cama,1 baño,"4,85",47,islas_canarias,https://www.airbnb.es/rooms/37182847?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1691172362_YBWzknlUlyCo5jRG&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
