Comunidad,Count
madrid,153
valencia,137
comunidad_valenciana,133
baleares,119
murcia,105
andalucia,100
castilla_la_mancha,97
pais_vasco,95
navarra,92
asturias,92
cataluña,92
cantabria,89
castilla_y_leon,89
ceuta,86
galicia,82
melilla,82
aragon,78
la_rioja,75
extremadura,71
