Unnamed: 0,precio,titulo_anuncio,tipo_alojamineto,n_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,comunidad,url
117,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/42871330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-10&source_impression_id=p3_1691172355_XoaLTpSWppFd%2FCwt&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
120,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/895000894982313479?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172394_mCTje0Tf0hadkqWa&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
127,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/728962548658388053?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172374_6OyFBSlKkv93gf1e&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
133,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/844116647046997723?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172362_6o5a9H%2FBBa5miH7y&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
142,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/671704289650892058?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691172382_fyTLYhmc6Zy4J3xc&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
144,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/856414008736550323?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691172374_ElGgRIaeL5wnii1F&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
160,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/33570310?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172345_oGkgYhm%2FaamPkqT1&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
161,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/33982415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691172398_u4W7kRc5NyCqVAPj&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
165,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/51460462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-12&source_impression_id=p3_1691172366_m%2BPcXEMoXcyh2ItN&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
168,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/855512239573844815?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1691172402_xyrKEME%2FfhQHopHE&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
