Comunidad,Count
andalucia,100
aragon,78
asturias,92
baleares,119
cantabria,89
castilla_la_mancha,97
castilla_y_leon,89
cataluña,92
ceuta,86
comunidad_valenciana,133
extremadura,71
galicia,82
islas_canarias,46
la_rioja,75
madrid,153
melilla,82
murcia,105
navarra,92
pais_vasco,95
valencia,137
