Comunidad,Count
castilla_y_leon,27
andalucia,19
madrid,19
cataluña,18
extremadura,17
murcia,15
castilla_la_mancha,14
aragon,14
ceuta,13
galicia,13
asturias,13
comunidad_valenciana,12
navarra,11
pais_vasco,11
cantabria,10
la_rioja,9
baleares,8
valencia,6
melilla,2
